Player,Age,Pos,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,FK,TotDist,PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,pass13,PPA,CrsPA,Prog,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past_VD,Press_Succ,P_D3,P_M3,P_A3,Sh_Blk,ShSv,Pass_Blk,Clr,Err,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Miscon,Dispos,Fls,PKwon,PKcon,Recov,AD_Won,AD_Lost,Game,overall
Aaron Cresswell,27.0,DF,Premier League,36,35,3069,1,3,0,0,7,0,20.0,6.0,7.0,23141.0,10252.0,15.0,59.0,900.0,1062.0,276.0,582.0,39.0,125.0,21.0,12.0,180.0,14.0,13.0,17.0,6.0,15.0,14.0,105.0,203.0,117.0,38.0,15.0,0.0,35.0,78.0,1.0,121.0,626.0,897.0,573.0,19.0,1665.0,6.0,16.0,10.0,1.0,1112.0,5856.0,2860.0,1137.0,1077.0,18.0,17.0,20,0.0,0.0,318.0,37.0,30.0,FIFA 19,74
Aaron Hunt,30.0,MF,Bundesliga,28,26,2081,3,2,1,1,1,0,27.0,6.0,10.0,16889.0,5315.0,20.0,70.0,629.0,755.0,234.0,404.0,65.0,83.0,31.0,5.0,172.0,22.0,12.0,16.0,2.0,5.0,32.0,135.0,102.0,261.0,121.0,2.0,0.0,28.0,21.0,0.0,28.0,150.0,727.0,684.0,68.0,1225.0,21.0,36.0,23.0,4.0,892.0,5186.0,2336.0,1176.0,893.0,45.0,42.0,27,0.0,0.0,213.0,22.0,37.0,FIFA 19,76
Aaron Lennon,30.0,MF,Premier League,29,22,1911,0,2,0,0,2,0,14.0,5.0,0.0,5564.0,1501.0,5.0,41.0,306.0,396.0,39.0,71.0,13.0,21.0,12.0,3.0,43.0,21.0,15.0,16.0,4.0,10.0,27.0,73.0,125.0,157.0,71.0,6.0,0.0,37.0,17.0,0.0,24.0,130.0,284.0,358.0,57.0,715.0,21.0,41.0,24.0,2.0,496.0,3254.0,1936.0,593.0,455.0,19.0,33.0,21,2.0,0.0,118.0,3.0,7.0,FIFA 19,77
Aaron Mooy,26.0,MF,Premier League,36,34,3067,4,3,1,1,4,0,29.0,6.0,3.0,27943.0,7847.0,40.0,108.0,1186.0,1391.0,321.0,571.0,49.0,159.0,25.0,9.0,209.0,40.0,32.0,38.0,11.0,27.0,44.0,145.0,168.0,293.0,97.0,4.0,0.0,54.0,41.0,0.0,49.0,439.0,1312.0,847.0,36.0,2272.0,16.0,28.0,17.0,0.0,1556.0,8912.0,3509.0,1634.0,1500.0,37.0,55.0,26,0.0,0.0,456.0,16.0,22.0,FIFA 19,79
Aaron Ramsey,26.0,MF,Premier League,24,21,1846,7,8,0,0,0,0,54.0,23.0,0.0,18239.0,4405.0,26.0,60.0,830.0,940.0,178.0,246.0,29.0,108.0,37.0,2.0,118.0,22.0,17.0,14.0,2.0,5.0,31.0,90.0,65.0,157.0,85.0,3.0,0.0,17.0,6.0,0.0,21.0,214.0,769.0,628.0,107.0,1468.0,22.0,31.0,25.0,1.0,1139.0,7210.0,3456.0,1302.0,1174.0,44.0,30.0,28,1.0,0.0,166.0,5.0,8.0,FIFA 19,82
Aaron Wan-Bissaka,19.0,DF,Premier League,7,7,627,0,0,0,0,1,0,0.0,0.0,0.0,3007.0,1723.0,6.0,16.0,152.0,203.0,27.0,57.0,3.0,15.0,5.0,3.0,35.0,11.0,19.0,3.0,3.0,5.0,3.0,26.0,57.0,21.0,7.0,8.0,0.0,28.0,25.0,0.0,42.0,170.0,160.0,96.0,1.0,339.0,8.0,11.0,9.0,0.0,187.0,1487.0,929.0,174.0,162.0,5.0,6.0,2,0.0,0.0,57.0,4.0,4.0,FIFA 19,70
Abdelhamid Sabiri,20.0,MF,Premier League,5,2,220,0,1,0,0,1,0,6.0,0.0,0.0,892.0,276.0,3.0,6.0,44.0,64.0,10.0,18.0,2.0,11.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,5.0,10.0,6.0,16.0,15.0,0.0,0.0,3.0,1.0,0.0,2.0,15.0,61.0,51.0,7.0,119.0,1.0,3.0,1.0,0.0,71.0,381.0,184.0,115.0,86.0,6.0,3.0,4,0.0,0.0,17.0,7.0,8.0,FIFA 19,64
Abdou Diallo,21.0,DF,Bundesliga,27,27,2415,2,1,0,0,5,0,13.0,3.0,0.0,19674.0,8948.0,12.0,36.0,621.0,734.0,272.0,431.0,6.0,80.0,20.0,7.0,142.0,42.0,38.0,22.0,3.0,19.0,12.0,145.0,219.0,109.0,21.0,14.0,0.0,32.0,107.0,0.0,118.0,681.0,768.0,159.0,24.0,1390.0,35.0,47.0,38.0,3.0,865.0,5737.0,3337.0,841.0,800.0,17.0,17.0,59,0.0,1.0,310.0,72.0,28.0,FIFA 19,78
Abdoulaye Bamba,27.0,DF,Ligue 1,18,17,1533,0,0,0,0,2,0,4.0,1.0,0.0,10272.0,4933.0,7.0,32.0,537.0,607.0,77.0,171.0,6.0,43.0,5.0,2.0,89.0,9.0,16.0,3.0,1.0,9.0,10.0,51.0,94.0,33.0,13.0,1.0,0.0,25.0,30.0,0.0,41.0,326.0,469.0,195.0,3.0,781.0,12.0,17.0,12.0,0.0,546.0,2926.0,1680.0,542.0,512.0,16.0,9.0,19,0.0,1.0,155.0,7.0,4.0,FIFA 19,71
Abdoulaye Doucouré,24.0,MF,Premier League,37,37,3324,7,3,0,0,10,0,49.0,18.0,0.0,34974.0,8178.0,25.0,74.0,1433.0,1654.0,410.0,531.0,39.0,168.0,37.0,3.0,172.0,41.0,29.0,31.0,5.0,17.0,53.0,172.0,240.0,307.0,96.0,9.0,1.0,52.0,41.0,2.0,93.0,672.0,1486.0,693.0,70.0,2605.0,30.0,50.0,37.0,1.0,1815.0,10821.0,5716.0,1808.0,1681.0,39.0,38.0,44,0.0,1.0,597.0,24.0,29.0,FIFA 19,81
Abdoulaye Touré,23.0,MF,Ligue 1,36,31,2809,1,1,0,0,3,0,41.0,13.0,2.0,20350.0,6333.0,30.0,64.0,790.0,938.0,250.0,365.0,18.0,150.0,15.0,4.0,146.0,55.0,31.0,32.0,10.0,26.0,40.0,150.0,167.0,288.0,77.0,11.0,0.0,47.0,41.0,1.0,76.0,457.0,1058.0,375.0,19.0,1758.0,44.0,58.0,45.0,2.0,1179.0,6472.0,3152.0,1078.0,996.0,35.0,35.0,51,1.0,0.0,414.0,31.0,16.0,FIFA 19,75
Ablie Jallow,18.0,MF,Ligue 1,2,2,129,0,0,0,0,0,0,3.0,0.0,0.0,617.0,136.0,0.0,0.0,28.0,33.0,6.0,11.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0,27.0,29.0,5.0,65.0,3.0,4.0,3.0,0.0,54.0,226.0,99.0,57.0,47.0,5.0,5.0,2,0.0,0.0,14.0,0.0,0.0,FIFA 19,63
Achraf Hakimi,18.0,DF,La Liga,9,8,758,2,1,0,0,0,0,5.0,4.0,0.0,5917.0,2126.0,7.0,17.0,352.0,396.0,35.0,67.0,5.0,22.0,9.0,4.0,37.0,10.0,6.0,6.0,4.0,5.0,16.0,40.0,72.0,65.0,24.0,1.0,0.0,16.0,9.0,0.0,29.0,141.0,264.0,209.0,18.0,525.0,23.0,30.0,23.0,2.0,428.0,2482.0,1501.0,423.0,381.0,12.0,6.0,4,0.0,0.0,62.0,4.0,3.0,FIFA 19,75
Achraf Lazaar,25.0,DF,Serie A,9,6,478,1,0,0,0,0,0,6.0,4.0,0.0,1911.0,474.0,1.0,7.0,104.0,125.0,15.0,41.0,3.0,5.0,5.0,4.0,9.0,10.0,11.0,2.0,0.0,4.0,11.0,30.0,50.0,30.0,29.0,1.0,0.0,6.0,10.0,0.0,15.0,66.0,111.0,99.0,8.0,233.0,15.0,31.0,17.0,0.0,181.0,1047.0,626.0,187.0,159.0,5.0,16.0,9,0.0,0.0,33.0,6.0,4.0,FIFA 19,68
Adalberto Peñaranda,20.0,FW,La Liga,13,11,798,0,0,0,0,3,0,21.0,7.0,0.0,2544.0,344.0,4.0,11.0,171.0,210.0,12.0,22.0,7.0,10.0,5.0,0.0,13.0,7.0,1.0,4.0,4.0,0.0,4.0,45.0,7.0,96.0,90.0,1.0,0.0,11.0,2.0,0.0,2.0,18.0,213.0,192.0,24.0,376.0,15.0,25.0,16.0,0.0,323.0,2386.0,1159.0,440.0,299.0,30.0,23.0,26,0.0,0.0,34.0,10.0,29.0,FIFA 19,73
Adam Lallana,29.0,MF,Premier League,12,1,308,0,0,0,0,1,0,11.0,0.0,0.0,2679.0,828.0,9.0,18.0,167.0,179.0,13.0,25.0,7.0,23.0,9.0,2.0,30.0,1.0,0.0,0.0,1.0,0.0,6.0,14.0,15.0,17.0,15.0,0.0,0.0,4.0,1.0,0.0,1.0,30.0,119.0,144.0,27.0,271.0,7.0,10.0,7.0,1.0,209.0,1151.0,513.0,246.0,221.0,12.0,7.0,4,0.0,0.0,31.0,0.0,3.0,FIFA 19,81
Adam Masina,23.0,DF,Serie A,34,33,2830,0,1,0,0,8,1,19.0,3.0,0.0,22033.0,10061.0,17.0,46.0,1079.0,1304.0,190.0,327.0,24.0,112.0,26.0,9.0,239.0,61.0,51.0,38.0,11.0,44.0,57.0,155.0,277.0,199.0,71.0,9.0,0.0,58.0,101.0,0.0,130.0,624.0,1071.0,516.0,48.0,1793.0,33.0,50.0,35.0,0.0,1142.0,6567.0,3945.0,1303.0,1166.0,40.0,31.0,53,0.0,2.0,288.0,112.0,39.0,FIFA 19,74
Adam Ounas,20.0,FW,Serie A,7,0,96,0,0,0,0,0,0,5.0,1.0,0.0,689.0,172.0,1.0,3.0,35.0,41.0,6.0,11.0,5.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,3.0,7.0,2.0,17.0,12.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,30.0,56.0,4.0,78.0,5.0,8.0,5.0,0.0,65.0,417.0,288.0,79.0,67.0,3.0,5.0,0,1.0,0.0,3.0,1.0,0.0,FIFA 19,73
Adam Smith,26.0,DF,Premier League,27,22,2071,1,3,0,0,6,0,12.0,3.0,0.0,14047.0,4544.0,22.0,55.0,727.0,841.0,110.0,194.0,19.0,51.0,19.0,8.0,95.0,26.0,33.0,14.0,4.0,24.0,33.0,94.0,157.0,114.0,68.0,8.0,0.0,59.0,41.0,0.0,63.0,430.0,644.0,420.0,43.0,1246.0,21.0,39.0,26.0,0.0,824.0,6280.0,3325.0,838.0,772.0,33.0,20.0,23,0.0,0.0,238.0,13.0,25.0,FIFA 19,75
Adama Diakhaby,21.0,FW,Ligue 1,22,10,851,2,2,0,0,2,1,14.0,4.0,0.0,2023.0,391.0,5.0,19.0,119.0,161.0,16.0,34.0,7.0,9.0,4.0,2.0,11.0,11.0,5.0,10.0,4.0,5.0,6.0,43.0,40.0,77.0,60.0,0.0,0.0,13.0,3.0,0.0,4.0,43.0,141.0,192.0,41.0,342.0,11.0,30.0,13.0,1.0,224.0,1939.0,1248.0,364.0,238.0,25.0,17.0,14,0.0,0.0,44.0,5.0,9.0,FIFA 19,74
Adama Mbengue,23.0,DF,Ligue 1,19,18,1596,0,0,0,0,2,1,16.0,1.0,0.0,9775.0,5629.0,8.0,61.0,393.0,499.0,107.0,261.0,11.0,52.0,16.0,8.0,134.0,31.0,39.0,13.0,6.0,26.0,35.0,105.0,164.0,106.0,32.0,2.0,0.0,36.0,36.0,2.0,48.0,369.0,422.0,365.0,17.0,883.0,29.0,51.0,33.0,7.0,608.0,5178.0,3462.0,540.0,489.0,27.0,24.0,35,0.0,0.0,201.0,11.0,4.0,FIFA 19,69
Adama Niane,24.0,FW,Ligue 1,33,25,2166,8,2,2,2,6,0,69.0,23.0,1.0,4819.0,740.0,28.0,53.0,284.0,416.0,40.0,70.0,16.0,13.0,7.0,2.0,23.0,8.0,7.0,4.0,4.0,4.0,17.0,119.0,58.0,217.0,189.0,4.0,0.0,15.0,11.0,0.0,21.0,97.0,373.0,440.0,115.0,820.0,17.0,35.0,20.0,1.0,523.0,2824.0,1465.0,1162.0,594.0,92.0,48.0,34,2.0,0.0,119.0,29.0,78.0,FIFA 19,71
Adama Soumaoro,25.0,DF,Ligue 1,14,14,1192,0,0,0,0,2,0,1.0,0.0,0.0,9870.0,3275.0,5.0,8.0,387.0,411.0,119.0,144.0,1.0,15.0,0.0,0.0,26.0,5.0,8.0,2.0,0.0,1.0,1.0,16.0,28.0,11.0,1.0,21.0,0.0,10.0,43.0,3.0,103.0,455.0,257.0,9.0,5.0,662.0,1.0,2.0,1.0,0.0,450.0,3372.0,1740.0,414.0,406.0,2.0,3.0,7,0.0,0.0,124.0,11.0,3.0,FIFA 19,74
Adama Traoré,22.0,MF,Ligue 1,3,2,189,3,0,0,0,1,0,7.0,4.0,0.0,1011.0,212.0,2.0,6.0,51.0,55.0,10.0,15.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,5.0,7.0,1.0,12.0,8.0,0.0,0.0,2.0,1.0,0.0,1.0,12.0,50.0,55.0,11.0,109.0,3.0,5.0,3.0,0.0,79.0,464.0,187.0,92.0,80.0,6.0,3.0,1,0.0,0.0,14.0,0.0,1.0,FIFA 19,72
Adil Rami,31.0,DF,Ligue 1,33,33,2955,1,1,0,0,5,0,14.0,2.0,0.0,35308.0,12354.0,8.0,28.0,1036.0,1147.0,539.0,695.0,7.0,85.0,2.0,0.0,78.0,20.0,23.0,10.0,2.0,11.0,17.0,67.0,119.0,50.0,7.0,19.0,0.0,25.0,86.0,2.0,187.0,1392.0,772.0,68.0,23.0,2053.0,6.0,8.0,7.0,0.0,1359.0,7425.0,4002.0,1337.0,1318.0,1.0,2.0,28,0.0,0.0,426.0,38.0,20.0,FIFA 19,82
Adnan Januzaj,22.0,FW,La Liga,28,18,1566,3,5,0,0,4,0,58.0,13.0,5.0,7360.0,2410.0,3.0,19.0,349.0,405.0,67.0,136.0,35.0,39.0,28.0,10.0,80.0,12.0,2.0,9.0,5.0,1.0,14.0,81.0,54.0,154.0,117.0,2.0,0.0,13.0,5.0,0.0,10.0,85.0,369.0,507.0,97.0,832.0,54.0,95.0,60.0,6.0,787.0,6126.0,3923.0,860.0,677.0,58.0,64.0,26,0.0,0.0,76.0,2.0,7.0,FIFA 19,78
Adrian Mariappa,30.0,DF,Premier League,28,24,2210,0,0,0,0,4,0,8.0,2.0,0.0,15919.0,6590.0,11.0,32.0,548.0,665.0,207.0,336.0,4.0,62.0,4.0,0.0,54.0,17.0,30.0,8.0,1.0,10.0,24.0,59.0,129.0,48.0,9.0,17.0,1.0,20.0,99.0,3.0,141.0,709.0,517.0,91.0,17.0,1205.0,4.0,7.0,4.0,0.0,666.0,3002.0,1458.0,688.0,660.0,4.0,4.0,32,0.0,0.0,300.0,42.0,31.0,FIFA 19,74
Adrian Stoian,26.0,MF,Serie A,32,26,2133,2,4,0,0,5,0,21.0,7.0,0.0,12314.0,5441.0,7.0,44.0,465.0,650.0,156.0,331.0,20.0,90.0,37.0,9.0,158.0,21.0,12.0,14.0,2.0,10.0,44.0,82.0,112.0,195.0,107.0,0.0,0.0,39.0,23.0,0.0,31.0,265.0,736.0,452.0,31.0,1286.0,40.0,70.0,45.0,2.0,1022.0,6670.0,4061.0,1120.0,950.0,51.0,46.0,27,0.0,0.0,200.0,5.0,28.0,FIFA 19,71
Adrien Hunou,23.0,FW,Ligue 1,24,17,1456,5,0,0,0,1,0,29.0,11.0,0.0,5868.0,1104.0,15.0,32.0,330.0,391.0,39.0,67.0,10.0,23.0,5.0,1.0,26.0,12.0,8.0,5.0,6.0,5.0,22.0,71.0,52.0,145.0,91.0,2.0,0.0,25.0,5.0,0.0,11.0,90.0,275.0,343.0,43.0,641.0,8.0,25.0,9.0,0.0,434.0,2654.0,1235.0,673.0,476.0,28.0,17.0,19,1.0,0.0,87.0,2.0,14.0,FIFA 19,73
Adrien Rabiot,22.0,MF,Ligue 1,33,27,2364,1,4,0,0,2,0,25.0,5.0,0.0,33974.0,8519.0,46.0,80.0,1588.0,1693.0,344.0,395.0,23.0,170.0,24.0,3.0,153.0,30.0,26.0,20.0,5.0,10.0,21.0,110.0,113.0,189.0,70.0,9.0,0.0,21.0,13.0,0.0,57.0,573.0,1587.0,495.0,40.0,2412.0,26.0,35.0,29.0,0.0,1905.0,13307.0,6920.0,1972.0,1885.0,37.0,31.0,38,0.0,0.0,280.0,14.0,11.0,FIFA 19,83
Adrien Thomasson,23.0,MF,Ligue 1,36,29,2582,5,3,0,0,4,0,60.0,16.0,0.0,15735.0,4369.0,35.0,85.0,840.0,1004.0,132.0,227.0,33.0,73.0,22.0,8.0,123.0,44.0,37.0,20.0,8.0,24.0,60.0,163.0,180.0,316.0,152.0,7.0,0.0,53.0,9.0,0.0,23.0,303.0,775.0,686.0,92.0,1642.0,17.0,34.0,18.0,0.0,1168.0,6412.0,3178.0,1429.0,1151.0,45.0,33.0,26,1.0,0.0,253.0,4.0,9.0,FIFA 19,74
Afriyie Acquah,25.0,MF,Serie A,22,9,951,1,0,0,0,4,2,9.0,3.0,0.0,7022.0,1590.0,6.0,14.0,324.0,362.0,73.0,104.0,3.0,42.0,2.0,0.0,36.0,7.0,2.0,7.0,2.0,1.0,11.0,32.0,44.0,100.0,17.0,1.0,0.0,9.0,7.0,1.0,11.0,101.0,398.0,127.0,6.0,568.0,14.0,22.0,15.0,0.0,449.0,3124.0,1561.0,435.0,406.0,8.0,18.0,13,0.0,0.0,105.0,12.0,13.0,FIFA 19,73
Ahmad Benali,25.0,MF,Serie A,10,10,811,1,1,0,0,2,0,5.0,3.0,0.0,4934.0,1696.0,5.0,16.0,240.0,284.0,43.0,79.0,5.0,31.0,10.0,0.0,45.0,19.0,10.0,13.0,3.0,5.0,20.0,62.0,85.0,117.0,52.0,1.0,0.0,16.0,13.0,0.0,20.0,111.0,262.0,135.0,13.0,452.0,7.0,10.0,7.0,0.0,314.0,1593.0,786.0,359.0,290.0,10.0,15.0,8,0.0,0.0,88.0,7.0,13.0,FIFA 19,72
Ainsley Maitland-Niles,19.0,DF,Premier League,15,8,914,0,0,0,0,1,0,5.0,0.0,0.0,8376.0,2765.0,9.0,25.0,410.0,462.0,82.0,113.0,6.0,31.0,17.0,3.0,46.0,15.0,13.0,6.0,8.0,13.0,15.0,57.0,110.0,51.0,21.0,1.0,0.0,26.0,20.0,0.0,34.0,249.0,288.0,240.0,21.0,680.0,19.0,24.0,20.0,0.0,487.0,2612.0,1410.0,507.0,471.0,20.0,16.0,10,0.0,1.0,88.0,2.0,9.0,FIFA 19,71
Alassane Pléa,24.0,FW,Ligue 1,35,34,3041,16,4,1,2,7,0,107.0,43.0,0.0,12447.0,2636.0,23.0,64.0,665.0,811.0,105.0,154.0,30.0,57.0,26.0,2.0,85.0,9.0,4.0,7.0,2.0,2.0,26.0,119.0,77.0,208.0,217.0,4.0,0.0,19.0,14.0,0.0,28.0,134.0,668.0,743.0,159.0,1394.0,59.0,88.0,64.0,1.0,1129.0,7430.0,4024.0,1568.0,1149.0,59.0,63.0,37,1.0,0.0,124.0,8.0,28.0,FIFA 19,80
Alberto Grassi,22.0,MF,Serie A,28,26,2253,3,0,0,0,3,0,39.0,13.0,0.0,10723.0,2583.0,15.0,24.0,550.0,659.0,100.0,126.0,7.0,51.0,12.0,2.0,61.0,28.0,15.0,19.0,9.0,12.0,26.0,108.0,116.0,141.0,71.0,8.0,0.0,35.0,40.0,1.0,53.0,248.0,632.0,320.0,53.0,1119.0,20.0,31.0,21.0,0.0,725.0,4357.0,2043.0,790.0,671.0,29.0,25.0,23,2.0,1.0,257.0,49.0,34.0,FIFA 19,75
Alberto Paloschi,27.0,FW,Serie A,36,25,2184,7,0,0,0,2,0,28.0,12.0,0.0,4195.0,495.0,15.0,32.0,239.0,315.0,38.0,60.0,12.0,11.0,4.0,1.0,15.0,7.0,2.0,9.0,0.0,0.0,17.0,68.0,35.0,188.0,135.0,4.0,0.0,5.0,9.0,0.0,11.0,67.0,326.0,226.0,65.0,554.0,18.0,25.0,18.0,1.0,389.0,1858.0,740.0,778.0,404.0,51.0,31.0,38,0.0,0.0,94.0,21.0,53.0,FIFA 19,76
Albin Ekdal,28.0,MF,Bundesliga,19,12,1108,0,1,0,0,3,0,8.0,1.0,0.0,7966.0,2366.0,5.0,18.0,331.0,419.0,94.0,123.0,6.0,54.0,6.0,0.0,58.0,25.0,16.0,14.0,1.0,9.0,16.0,86.0,89.0,116.0,20.0,4.0,0.0,13.0,26.0,0.0,34.0,174.0,460.0,101.0,16.0,681.0,8.0,19.0,11.0,0.0,422.0,2773.0,1316.0,426.0,390.0,5.0,14.0,14,0.0,0.0,186.0,27.0,29.0,FIFA 19,76
Aleksandar Katai,26.0,FW,La Liga,3,0,57,0,0,0,0,0,0,3.0,0.0,1.0,139.0,70.0,0.0,0.0,8.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,12.0,2.0,20.0,2.0,4.0,2.0,1.0,19.0,250.0,161.0,22.0,15.0,0.0,4.0,0,0.0,0.0,2.0,0.0,0.0,FIFA 19,75
Aleksandar Kolarov,31.0,DF,Serie A,35,34,3060,2,6,0,0,3,0,64.0,13.0,24.0,36732.0,13949.0,21.0,69.0,1568.0,1815.0,378.0,694.0,81.0,131.0,72.0,40.0,346.0,37.0,35.0,19.0,10.0,28.0,26.0,83.0,116.0,85.0,55.0,9.0,0.0,50.0,60.0,2.0,133.0,771.0,1325.0,1138.0,69.0,2518.0,45.0,91.0,59.0,5.0,1986.0,12614.0,8207.0,1964.0,1855.0,38.0,38.0,28,2.0,1.0,354.0,44.0,22.0,FIFA 19,82
Alessandro Bastoni,18.0,DF,Serie A,4,0,91,0,0,0,0,0,0,1.0,0.0,0.0,1302.0,384.0,1.0,3.0,60.0,68.0,11.0,13.0,2.0,6.0,0.0,0.0,10.0,3.0,1.0,2.0,0.0,0.0,2.0,4.0,5.0,7.0,2.0,0.0,0.0,1.0,4.0,0.0,2.0,27.0,55.0,19.0,6.0,89.0,1.0,2.0,2.0,0.0,61.0,262.0,142.0,66.0,63.0,0.0,2.0,2,0.0,0.0,15.0,0.0,3.0,FIFA 19,67
Alessandro Deiola,21.0,MF,Serie A,13,4,449,0,0,0,0,3,0,10.0,2.0,0.0,1641.0,516.0,4.0,6.0,87.0,113.0,13.0,29.0,2.0,8.0,3.0,2.0,18.0,6.0,3.0,4.0,2.0,3.0,6.0,18.0,24.0,39.0,20.0,0.0,0.0,10.0,11.0,0.0,15.0,49.0,96.0,74.0,7.0,209.0,4.0,7.0,5.0,0.0,134.0,538.0,228.0,160.0,122.0,8.0,8.0,6,0.0,0.0,44.0,3.0,10.0,FIFA 19,64
Alessandro Florenzi,26.0,DF,Serie A,32,26,2387,1,3,0,1,2,0,40.0,7.0,0.0,27596.0,11133.0,7.0,32.0,1033.0,1207.0,325.0,533.0,44.0,126.0,52.0,22.0,244.0,25.0,20.0,13.0,4.0,16.0,36.0,84.0,149.0,107.0,64.0,7.0,1.0,39.0,43.0,3.0,76.0,524.0,970.0,660.0,73.0,1757.0,21.0,39.0,24.0,1.0,1291.0,7377.0,4561.0,1387.0,1268.0,27.0,8.0,15,0.0,0.0,286.0,13.0,27.0,FIFA 19,82
Alessandro Matri,32.0,FW,Serie A,23,7,914,3,0,1,3,1,0,29.0,10.0,0.0,2155.0,459.0,5.0,11.0,122.0,161.0,16.0,26.0,11.0,11.0,5.0,1.0,14.0,1.0,1.0,0.0,3.0,0.0,3.0,18.0,7.0,39.0,49.0,1.0,0.0,4.0,5.0,0.0,7.0,30.0,125.0,181.0,57.0,301.0,7.0,18.0,11.0,0.0,227.0,981.0,354.0,478.0,247.0,16.0,32.0,6,3.0,0.0,29.0,9.0,19.0,FIFA 19,72
Alessandro Murgia,20.0,MF,Serie A,16,9,777,0,0,0,0,3,1,11.0,3.0,0.0,5329.0,1508.0,8.0,17.0,261.0,301.0,44.0,64.0,8.0,23.0,3.0,1.0,28.0,13.0,12.0,6.0,1.0,7.0,12.0,65.0,83.0,79.0,34.0,3.0,0.0,17.0,11.0,0.0,11.0,126.0,280.0,125.0,16.0,487.0,2.0,8.0,3.0,0.0,340.0,1551.0,931.0,425.0,344.0,13.0,11.0,14,0.0,0.0,70.0,6.0,12.0,FIFA 19,72
Alessandro Schöpf,23.0,DF,Bundesliga,15,9,808,0,0,0,0,3,0,8.0,3.0,0.0,4960.0,1760.0,5.0,15.0,269.0,320.0,40.0,77.0,5.0,19.0,6.0,0.0,43.0,19.0,14.0,11.0,3.0,8.0,15.0,80.0,84.0,127.0,44.0,0.0,0.0,18.0,21.0,1.0,25.0,121.0,279.0,183.0,18.0,470.0,10.0,21.0,11.0,0.0,338.0,2354.0,1360.0,342.0,300.0,18.0,16.0,26,0.0,0.0,84.0,6.0,9.0,FIFA 19,77
Alessio Cerci,30.0,FW,Serie A,24,22,1635,3,1,1,1,1,0,41.0,12.0,4.0,5397.0,1547.0,12.0,27.0,257.0,346.0,49.0,114.0,21.0,17.0,17.0,4.0,49.0,8.0,6.0,6.0,6.0,5.0,12.0,63.0,43.0,112.0,111.0,1.0,0.0,9.0,4.0,0.0,9.0,77.0,301.0,392.0,70.0,633.0,27.0,56.0,31.0,2.0,525.0,4527.0,2996.0,775.0,506.0,31.0,45.0,20,2.0,0.0,72.0,17.0,41.0,FIFA 19,74
Alessio Romagnoli,22.0,DF,Serie A,28,27,2353,2,0,0,0,8,2,10.0,4.0,0.0,28192.0,8525.0,4.0,15.0,962.0,1022.0,388.0,465.0,4.0,70.0,0.0,0.0,79.0,18.0,18.0,6.0,2.0,7.0,8.0,42.0,102.0,39.0,10.0,17.0,2.0,20.0,119.0,1.0,190.0,829.0,907.0,86.0,14.0,1682.0,1.0,3.0,2.0,0.0,1088.0,5599.0,2938.0,1188.0,1171.0,1.0,4.0,26,0.0,0.0,251.0,45.0,24.0,FIFA 19,82
Alex Ferrari,23.0,DF,Serie A,25,25,2136,1,0,0,0,5,0,9.0,1.0,0.0,15186.0,6362.0,8.0,45.0,563.0,693.0,199.0,301.0,6.0,54.0,10.0,3.0,112.0,53.0,45.0,22.0,10.0,41.0,39.0,113.0,215.0,108.0,30.0,18.0,2.0,40.0,101.0,1.0,149.0,651.0,572.0,214.0,12.0,1175.0,21.0,33.0,25.0,1.0,729.0,4333.0,2445.0,705.0,650.0,26.0,18.0,16,0.0,0.0,225.0,48.0,30.0,FIFA 19,70
Alex Iwobi,21.0,FW,Premier League,26,22,1830,3,5,0,0,1,0,45.0,22.0,0.0,16495.0,4520.0,27.0,53.0,809.0,901.0,151.0,198.0,37.0,91.0,34.0,2.0,122.0,17.0,9.0,6.0,5.0,8.0,9.0,78.0,81.0,105.0,67.0,1.0,0.0,23.0,9.0,0.0,16.0,179.0,613.0,701.0,92.0,1354.0,29.0,48.0,37.0,3.0,1147.0,7396.0,4167.0,1246.0,1110.0,43.0,32.0,11,0.0,0.0,145.0,3.0,10.0,FIFA 19,76
