Player,Age,Pos,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,FK,TotDist,PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,pass13,PPA,CrsPA,Prog,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past_VD,Press_Succ,P_D3,P_M3,P_A3,Sh_Blk,ShSv,Pass_Blk,Clr,Err,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Miscon,Dispos,Fls,PKwon,PKcon,Recov,AD_Won,AD_Lost,Game,overall
Sam Vokes,28.0,FW,Premier League,20,10,915,3,0,0,0,0,0,23.0,7.0,0.0,1987.0,492.0,3.0,15.0,142.0,225.0,6.0,19.0,6.0,18.0,4.0,1.0,21.0,0.0,1.0,2.0,2.0,0.0,0.0,27.0,4.0,62.0,59.0,3.0,0.0,4.0,16.0,0.0,18.0,27.0,179.0,167.0,46.0,361.0,3.0,5.0,3.0,0.0,138.0,559.0,161.0,517.0,306.0,33.0,9.0,14,0.0,0.0,19.0,70.0,77.0,FIFA 20,73
Sami Khedira,31.0,MF,Serie A,10,8,706,2,1,0,0,0,0,18.0,5.0,0.0,5058.0,949.0,9.0,19.0,250.0,275.0,47.0,65.0,4.0,18.0,4.0,1.0,18.0,8.0,8.0,3.0,2.0,6.0,5.0,42.0,31.0,70.0,37.0,3.0,0.0,5.0,4.0,0.0,14.0,70.0,249.0,119.0,31.0,412.0,2.0,2.0,2.0,1.0,303.0,1306.0,565.0,354.0,312.0,6.0,3.0,5,0.0,0.0,58.0,5.0,1.0,FIFA 20,83
Samir Nasri,31.0,MF,Premier League,5,3,245,0,2,0,0,0,0,3.0,0.0,0.0,2084.0,479.0,5.0,5.0,109.0,120.0,21.0,30.0,6.0,11.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,39.0,28.0,0.0,0.0,1.0,1.0,0.0,2.0,15.0,79.0,83.0,10.0,161.0,2.0,4.0,2.0,0.0,147.0,948.0,437.0,175.0,145.0,0.0,2.0,3,0.0,0.0,13.0,0.0,1.0,FIFA 20,78
Samuel Chukwueze,19.0,FW,La Liga,26,19,1706,5,2,0,0,2,0,58.0,23.0,0.0,6785.0,1823.0,4.0,34.0,310.0,390.0,73.0,116.0,23.0,24.0,21.0,4.0,61.0,11.0,5.0,12.0,2.0,5.0,26.0,92.0,84.0,207.0,112.0,1.0,0.0,13.0,8.0,0.0,11.0,106.0,336.0,432.0,129.0,787.0,59.0,101.0,65.0,2.0,682.0,5527.0,3887.0,850.0,590.0,44.0,40.0,20,0.0,0.0,126.0,17.0,23.0,FIFA 20,76
Samuel Kalu,20.0,FW,Ligue 1,21,14,1281,3,2,0,1,3,1,41.0,14.0,6.0,6882.0,2222.0,4.0,28.0,280.0,366.0,83.0,169.0,30.0,27.0,12.0,4.0,69.0,14.0,13.0,7.0,4.0,4.0,18.0,67.0,54.0,76.0,55.0,1.0,0.0,13.0,2.0,0.0,10.0,100.0,323.0,439.0,62.0,739.0,64.0,97.0,67.0,0.0,677.0,4580.0,2944.0,750.0,572.0,38.0,54.0,19,1.0,0.0,99.0,17.0,24.0,FIFA 20,75
Samuel Moutoussamy,21.0,MF,Ligue 1,28,19,1648,2,3,0,0,0,0,27.0,9.0,0.0,8844.0,1889.0,6.0,21.0,448.0,525.0,76.0,117.0,19.0,51.0,12.0,1.0,49.0,27.0,16.0,17.0,5.0,9.0,35.0,109.0,92.0,218.0,82.0,1.0,0.0,19.0,12.0,0.0,18.0,150.0,446.0,306.0,58.0,827.0,20.0,28.0,21.0,1.0,606.0,3199.0,1818.0,788.0,595.0,19.0,33.0,17,0.0,0.0,131.0,8.0,15.0,FIFA 20,71
Samuel Umtiti,24.0,DF,La Liga,14,13,1189,0,1,0,0,4,0,2.0,0.0,0.0,16155.0,5395.0,7.0,11.0,646.0,671.0,186.0,210.0,1.0,54.0,0.0,0.0,59.0,6.0,3.0,7.0,0.0,4.0,3.0,36.0,43.0,57.0,1.0,10.0,0.0,10.0,33.0,1.0,88.0,416.0,603.0,24.0,3.0,964.0,7.0,10.0,8.0,1.0,735.0,3791.0,2395.0,766.0,747.0,0.0,2.0,13,0.0,0.0,130.0,9.0,8.0,FIFA 20,86
Samuele Longo,26.0,FW,La Liga,15,6,556,1,2,0,0,4,0,12.0,6.0,0.0,784.0,191.0,3.0,6.0,47.0,67.0,6.0,11.0,3.0,5.0,1.0,0.0,5.0,5.0,1.0,3.0,1.0,0.0,7.0,39.0,18.0,115.0,50.0,2.0,0.0,5.0,6.0,0.0,8.0,14.0,96.0,70.0,30.0,163.0,10.0,16.0,13.0,2.0,120.0,561.0,325.0,251.0,122.0,24.0,23.0,16,0.0,0.0,16.0,8.0,18.0,FIFA 20,71
Sanasi Sy,19.0,MF,Ligue 1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,FIFA 20,59
Sandro Wagner,30.0,FW,Bundesliga,7,1,143,0,0,0,0,2,0,3.0,2.0,0.0,494.0,60.0,0.0,2.0,17.0,23.0,8.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,13.0,1.0,20.0,18.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,33.0,14.0,7.0,51.0,0.0,0.0,0.0,0.0,35.0,111.0,48.0,53.0,43.0,3.0,4.0,1,0.0,0.0,2.0,1.0,1.0,FIFA 20,78
