Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,1,1,3,0,0,0,10,1,0,100
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,0,1,0,0,0,11,0,2,0
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,5,1,1,20,11,1,10,6,18,0,1,0,55,4,6,40
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2,0,0,13,6,0,0,10,11,0,0,0,94,41,13,75.9
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1,0,0,9,9,6,8,2,5,2,0,0,61,2,14,12.5
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,2,2,0,10,20,0,52,11,28,0,0,0,119,16,15,51.6
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,2,0,0,7,3,1,0,1,1,0,0,0,22,5,12,29.4
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5
