Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,3,2,1,1,0,0
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,0,1,0,0,7,0
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,3,0,0,0,0,0
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,1,157,1,0,0,0,1,0
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,1,2,0,0,5,0
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,0,0,0,0,2,0
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,2,0,0,0,2,1
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,15,3,0,0,2,0
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,0,0,0,0,3,0
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,2,2,0,0,4,0
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,30,12,1111,4,2,0,0,0,0
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,14,10,953,0,0,0,0,0,0
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,15,6,746,5,1,0,0,1,0
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0,0,0,0,0,0
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,11,0,188,1,0,0,0,1,0
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,2,231,0,0,0,0,0,0
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,4,0,46,0,0,0,0,1,0
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,21,11,1020,3,3,0,0,3,0
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,0,0,0,0,1,0
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,0,208,1,0,0,1,3,0
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,1805,1,0,0,0,5,1
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,2099,1,1,0,0,5,1
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0,0,0,0,1,0
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,3,1,64,0,0,0,0,0,0
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,10,7,666,1,1,0,0,5,1
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,11,957,1,0,0,0,2,0
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,18,1452,16,3,2,3,1,0
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,11,1072,0,2,0,0,2,2
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,10,2,230,0,0,0,0,2,0
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,8,630,1,1,0,0,3,1
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,27,2502,0,1,0,0,4,0
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,32,20,2079,0,2,0,0,8,0
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,6,536,0,1,0,0,1,0
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,16,1282,0,2,0,0,3,0
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,9,0,139,0,0,0,0,0,0
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,24,2058,8,4,1,1,3,0
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,25,2309,0,1,0,0,2,0
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,9,0,99,0,0,0,0,1,0
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,29,2503,2,2,0,0,2,0
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,15,5,544,2,1,0,0,1,0
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,12,1142,0,0,0,0,2,0
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,27,2498,1,1,0,0,0,0
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,17,17,1400,0,0,0,0,3,0
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,11,1174,7,1,1,1,6,0
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,25,2187,2,5,0,0,7,0
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,36,36,3113,6,15,1,1,5,0
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,36,3237,1,0,0,0,9,0
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,20,9,867,0,3,0,0,2,0
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,13,11,924,4,1,0,0,1,0
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,6,530,5,1,0,0,0,0
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,20,1771,3,0,0,0,7,0
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,20,1927,2,2,0,0,10,0
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,33,33,2957,2,2,0,0,7,0
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,21,1916,1,1,0,0,4,0
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,6,0,109,0,0,0,0,0,0
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,4,2,172,0,0,0,0,0,0
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,17,7,735,1,0,0,0,1,0
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,901,0,0,0,0,0,0
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,38,35,3175,4,13,0,0,5,0
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,0,0,0,0,0,0
