Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_S,Att_S,Cmp%_S,Cmp_M,Att_M,Cmp%_M,Cmp_L,Att_L,Cmp%_L,Ast,KP,pass13,PPA,CrsPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,845,1116,75.7,15182,7109,17,51,33.3,666,779,85.5,162,286,56.6,1,17,58,28,7,166
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,27,41,65.9,408,88,1,4,25,25,33,75.8,1,4,25,0,0,0,1,1,2
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,81,115,70.4,1095,304,6,10,60,70,93,75.3,5,12,41.7,0,3,5,6,1,10
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,625,774,80.7,11501,4742,7,24,29.2,506,555,91.2,112,195,57.4,0,11,58,20,8,95
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,304,336,90.5,6306,1794,3,7,42.9,215,229,93.9,86,100,86,0,0,11,0,0,7
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,29,38,76.3,521,188,0,2,0,21,23,91.3,8,13,61.5,0,2,0,2,1,3
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,519,611,84.9,10250,2390,11,25,44,379,420,90.2,129,166,77.7,1,6,48,2,0,50
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1080,1312,82.3,25095,7937,9,14,64.3,670,752,89.1,401,546,73.4,2,6,66,3,2,97
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,208,309,67.3,3094,683,9,27,33.3,175,236,74.2,24,46,52.2,1,10,19,7,3,22
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,260,335,77.6,4482,1183,6,12,50,211,259,81.5,43,64,67.2,0,4,20,4,1,32
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,1360,1644,82.7,30665,9087,13,31,41.9,878,1000,87.8,469,613,76.5,0,13,104,6,3,111
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,403,480,84,7022,1590,6,14,42.9,324,362,89.5,73,104,70.2,0,3,42,2,0,36
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,169,281,60.1,4382,1565,0,9,0,93,115,80.9,76,157,48.4,0,7,28,7,4,36
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,714,1035,69,21475,13429,1,3,33.3,374,377,99.2,339,655,51.8,0,2,12,1,0,0
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,695,1006,69.1,13470,4438,3,26,11.5,536,681,78.7,156,299,52.2,0,23,41,29,19,110
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,958,1168,82,21066,7904,12,30,40,604,691,87.4,342,447,76.5,1,3,39,1,0,49
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,360,514,70,5818,2379,5,22,22.7,310,386,80.3,45,106,42.5,0,9,25,6,2,50
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,241,386,62.4,8770,5681,0,0,,92,97,94.8,149,289,51.6,0,1,8,0,0,0
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,588,902,65.2,10954,5194,10,37,27,456,592,77,122,273,44.7,1,21,37,18,11,133
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,187,430,43.5,8869,6770,0,0,,37,38,97.4,150,392,38.3,0,0,14,0,0,0
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,329,509,64.6,4876,1115,6,22,27.3,283,409,69.2,40,78,51.3,3,11,36,10,0,36
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,70,81,86.4,1374,220,0,0,,53,60,88.3,17,21,81,0,0,7,0,0,4
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,106,145,73.1,1270,143,5,12,41.7,93,122,76.2,8,11,72.7,0,2,7,3,0,6
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,598,873,68.5,10555,5335,4,36,11.1,493,635,77.6,101,202,50,4,11,49,11,7,118
25,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,36,56,64.3,542,95,1,3,33.3,31,45,68.9,4,8,50,0,1,1,0,0,3
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,530,647,81.9,6771,1148,24,56,42.9,474,550,86.2,32,41,78,6,37,20,27,1,45
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,1114,1478,75.4,18488,8970,29,68,42.6,925,1092,84.7,160,318,50.3,3,31,90,30,20,232
28,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,489,668,73.2,8715,3823,4,14,28.6,394,478,82.4,91,176,51.7,0,7,39,18,5,94
29,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,1147,1346,85.2,22056,4826,29,57,50.9,832,932,89.3,286,357,80.1,0,11,97,9,0,91
30,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,45,62,72.6,884,297,1,3,33.3,33,41,80.5,11,18,61.1,0,2,3,2,2,6
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.8,938,1145,81.9,20285,5737,17,38,44.7,628,715,87.8,293,392,74.7,0,16,135,6,1,131
32,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,286,365,78.4,6321,2365,3,10,30,192,224,85.7,91,131,69.5,1,5,19,2,0,29
