Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_S,Att_S,Cmp%_S,Cmp_M,Att_M,Cmp%_M,Cmp_L,Att_L,Cmp%_L,Ast,KP,pass13,PPA,CrsPA,Prog
33,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10,521,604,86.3,11385,3396,2,7,28.6,353,393,89.8,166,204,81.4,0,1,39,3,0,40
34,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,1325,1615,82,27857,10035,11,32,34.4,890,1031,86.3,424,552,76.8,3,7,79,3,0,74
35,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.5,32,41,78,490,90,0,1,0,27,29,93.1,5,11,45.5,0,0,5,0,0,2
36,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,242,316,76.6,3879,930,3,8,37.5,202,245,82.4,37,63,58.7,0,13,13,13,7,36
37,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,22,1995,18.8,866,1010,85.7,16641,5402,6,19,31.6,690,740,93.2,170,251,67.7,1,7,72,4,0,68
38,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1120,1320,84.8,18467,5870,14,43,32.6,956,1057,90.4,150,220,68.2,2,20,73,25,13,131
39,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,302,400,75.5,3999,726,20,37,54.1,259,327,79.2,23,36,63.9,4,11,19,6,0,25
40,David Alba\David-Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,6,11,54.5,171,97,0,0,,2,7,28.6,4,4,100,0,0,1,0,0,2
41,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,1985,2323,85.4,31666,10815,26,74,35.1,1744,1930,90.4,215,319,67.4,6,38,106,40,10,189
42,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,600,782,76.7,14853,5216,2,11,18.2,341,407,83.8,257,364,70.6,0,3,34,3,0,34
43,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,1339,1824,73.4,25102,9173,27,70,38.6,1022,1219,83.8,290,535,54.2,14,91,184,79,4,310
44,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,2223,2510,88.6,51015,16364,38,55,69.1,1354,1484,91.2,831,971,85.6,1,7,221,3,0,174
45,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,324,423,76.6,5925,2939,9,21,42.9,247,290,85.2,68,112,60.7,0,7,18,11,6,51
46,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,747,1260,59.3,15729,6874,16,76,21.1,526,671,78.4,205,513,40,7,42,105,38,16,152
47,Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.8,193,236,81.8,2770,580,7,12,58.3,167,195,85.6,19,29,65.5,2,10,4,9,2,19
48,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,28,1989,7.6,208,307,67.8,5175,1606,1,3,33.3,133,167,79.6,74,137,54,0,1,23,1,0,18
49,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,1190,1309,90.9,23716,5730,14,22,63.6,859,921,93.3,317,366,86.6,2,29,145,18,0,119
50,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,69,94,73.4,1326,645,2,2,100,49,57,86,18,35,51.4,0,2,5,2,1,16
51,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,782,923,84.7,19397,6422,4,10,40,470,510,92.2,308,403,76.4,0,3,112,8,2,73
52,Steve Aldo One\Steve-Aldo-One,es ESP,DF,La Coruña,es La Liga,22,1995,1,18,22,81.8,385,193,0,0,,14,17,82.4,4,5,80,0,0,0,0,0,1
53,Álex Alegría\Alex-Alegria,es ESP,FW,Levante,es La Liga,24,1992,6.9,110,154,71.4,1338,171,6,9,66.7,102,135,75.6,2,10,20,1,3,6,2,0,4
54,Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,12.5,188,354,53.1,3253,1085,4,20,20,153,241,63.5,31,93,33.3,3,19,13,26,16,39
55,Alexander\Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.7,220,326,67.5,3153,992,9,21,42.9,194,252,77,17,53,32.1,2,13,11,11,7,30
56,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,917,1257,73,18108,6493,12,55,21.8,675,784,86.1,230,418,55,1,25,66,29,8,148
57,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,523,731,71.5,11153,5251,3,9,33.3,359,454,79.1,161,268,60.1,0,3,28,4,0,74
58,Alisson\Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,959,1175,81.6,30238,18872,2,2,100,425,425,100,532,748,71.1,0,1,12,0,0,0
59,Allan\Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,1558,1821,85.6,24416,6223,20,51,39.2,1340,1491,89.9,198,279,71,5,32,182,51,2,173
60,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,27,1990,34.9,1080,1365,79.1,19116,5473,20,59,33.9,858,1016,84.4,202,290,69.7,6,32,106,28,4,133
61,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,972,1256,77.4,15636,4239,42,103,40.8,777,919,84.5,153,234,65.4,10,60,87,54,2,142
62,José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,3,4,75,45,11,0,0,,2,2,100,1,2,50,0,0,0,0,0,0
63,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,1495,1875,79.7,34187,14235,8,31,25.8,946,1087,87,541,757,71.5,0,9,101,6,2,109
64,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,1277,1646,77.6,22912,7255,24,86,27.9,1024,1200,85.3,229,360,63.6,2,31,53,30,13,156
65,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3,131,174,75.3,2034,552,5,7,71.4,106,128,82.8,20,39,51.3,1,5,10,6,3,15
66,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,342,518,66,10945,7218,2,2,100,161,166,97,179,350,51.1,0,1,5,0,0,0
67,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,359,437,82.2,8368,2911,3,5,60,218,250,87.2,138,182,75.8,0,1,37,1,0,34
68,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,1686,1987,84.9,27933,11149,51,88,58,1381,1522,90.7,254,377,67.4,4,48,139,63,20,209
69,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,1339,1539,87,29082,8432,17,31,54.8,887,967,91.7,435,541,80.4,0,11,118,3,1,106
70,Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,7,8,87.5,137,61,0,0,,6,7,85.7,1,1,100,0,0,2,0,0,1
71,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,207,260,79.6,3038,894,8,14,57.1,179,201,89.1,20,45,44.4,0,5,16,5,0,23
72,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30,1129,1400,80.6,24954,6440,16,48,33.3,746,846,88.2,367,506,72.5,1,26,138,25,5,132
73,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,225,291,77.3,4348,1844,3,7,42.9,171,197,86.8,51,87,58.6,0,0,20,0,0,30
74,Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,1404,1572,89.3,29632,7563,3,19,15.8,1026,1106,92.8,375,447,83.9,0,5,81,3,0,71
75,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.5,402,617,65.2,6528,2067,10,40,25,333,469,71,59,108,54.6,0,22,41,19,5,67
76,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,1050,1324,79.3,19323,6392,14,47,29.8,818,944,86.7,218,333,65.5,3,19,65,21,13,108
77,Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,30,33,90.9,654,116,0,0,,19,19,100,11,14,78.6,0,0,0,0,0,0
78,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35,962,1252,76.8,17603,7531,25,66,37.9,744,868,85.7,193,318,60.7,1,11,80,18,10,150
79,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,676,875,77.3,12100,3339,14,39,35.9,541,632,85.6,121,204,59.3,3,30,66,29,3,115
80,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,eng Premier League,16,2000,0.1,19,19,100,432,94,0,0,,13,13,100,6,6,100,0,0,1,0,0,2
81,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,45,78,57.7,718,219,0,5,0,37,55,67.3,8,18,44.4,0,2,5,3,2,9
82,Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18,308,485,63.5,4915,1128,4,23,17.4,267,365,73.2,37,97,38.1,1,21,19,21,8,44
83,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,8,27,29.6,393,338,0,0,,2,2,100,6,25,24,0,0,1,0,0,0
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,369,420,87.9,7875,2081,2,8,25,259,274,94.5,108,138,78.3,0,1,19,1,0,26
85,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,504,709,71.1,8701,2919,18,49,36.7,399,502,79.5,87,158,55.1,6,36,39,43,7,106
86,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,182,295,61.7,2491,297,5,25,20,163,226,72.1,14,44,31.8,3,9,6,7,3,12
87,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,796,1357,58.7,32125,21016,1,4,25,223,233,95.7,572,1120,51.1,0,0,9,0,0,1
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,1453,1866,77.9,24773,5877,46,97,47.4,1154,1400,82.4,253,369,68.6,2,28,150,23,5,158
89,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,681,847,80.4,15703,5003,8,15,53.3,439,489,89.8,234,343,68.2,0,1,38,4,0,39
90,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,910,1176,77.4,15622,7141,22,49,44.9,748,853,87.7,140,274,51.1,2,19,67,19,15,157
91,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.1,274,356,77,3920,540,5,13,38.5,248,313,79.2,21,30,70,3,14,12,4,0,11
92,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,204,272,75,7021,3967,1,1,100,65,66,98.5,138,205,67.3,0,0,3,0,0,0
93,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,3,7,42.9,40,39,0,0,,3,6,50,0,1,0,0,0,0,0,0,1
94,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,27,1989,26.9,987,1634,60.4,23043,10392,9,48,18.8,624,840,74.3,354,746,47.5,7,45,104,38,25,254
95,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,408,494,82.6,9984,3434,3,5,60,233,273,85.3,172,216,79.6,0,2,24,2,0,38
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,695,972,71.5,14251,5247,10,32,31.3,509,608,83.7,176,332,53,3,19,51,28,15,120
97,Luca Antei\Luca-Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,315,371,84.9,6951,2289,5,8,62.5,205,219,93.6,105,144,72.9,0,0,20,0,0,23
98,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,475,647,73.4,6950,1042,19,44,43.2,406,526,77.2,50,77,64.9,4,30,26,14,6,35
99,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,961,1190,80.8,20562,5993,8,27,29.6,676,795,85,277,368,75.3,0,2,67,3,2,91
100,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,79,95,83.2,1165,412,0,1,0,76,85,89.4,3,9,33.3,0,1,7,1,0,8
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,27,1990,15,286,481,59.5,5056,1586,8,28,28.6,223,313,71.2,55,140,39.3,1,12,26,13,7,40
102,Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,11,15,73.3,192,41,1,1,100,8,10,80,2,4,50,1,2,0,1,1,2
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,832,1328,62.7,16638,9040,13,39,33.3,609,774,78.7,210,515,40.8,2,25,88,37,14,222
104,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,964,1192,80.9,19547,4759,9,24,37.5,688,768,89.6,267,400,66.8,6,24,49,14,2,112
105,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27,1312,1538,85.3,22771,5695,46,83,55.4,1023,1147,89.2,243,308,78.9,4,35,138,20,1,139
106,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,826,992,83.3,16796,3967,8,16,50,594,684,86.8,224,292,76.7,0,10,78,8,0,66
107,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,452,658,68.7,10622,2530,5,15,33.3,268,361,74.2,179,282,63.5,2,7,57,4,1,51
108,Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,107,130,82.3,1712,625,3,6,50,92,100,92,12,24,50,0,1,3,1,1,9
109,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,1485,1731,85.8,29192,8591,12,31,38.7,1121,1238,90.5,352,462,76.2,3,23,165,25,2,211
110,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,533,757,70.4,10652,2688,10,39,25.6,394,514,76.7,129,204,63.2,2,26,43,30,12,82
111,Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,20,22,90.9,334,62,0,1,0,18,18,100,2,3,66.7,0,0,3,0,0,3
112,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,1234,1583,78,31812,10975,14,33,42.4,662,780,84.9,558,770,72.5,1,10,145,9,2,166
113,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,524,584,89.7,11967,6058,4,5,80,350,353,99.2,170,226,75.2,0,0,1,0,0,0
114,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,eng Premier League,28,1988,14.8,267,382,69.9,4126,1055,8,20,40,225,296,76,34,66,51.5,1,7,24,7,1,33
115,Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,66,84,78.6,912,128,1,1,100,62,77,80.5,3,6,50,0,1,2,1,0,4
116,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,48,81,59.3,780,428,0,5,0,45,65,69.2,3,11,27.3,0,1,2,3,1,13
117,José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,3,4,75,54,0,0,0,,3,4,75,0,0,,0,0,0,0,0,0
118,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,507,751,67.5,7316,1662,25,67,37.3,424,563,75.3,58,121,47.9,6,33,21,19,7,48
119,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,1121,1425,78.7,23646,6440,9,29,31,782,888,88.1,330,508,65,0,37,106,21,6,156
120,Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,91,154,59.1,1504,198,3,19,15.8,69,109,63.3,19,26,73.1,0,3,3,2,0,7
121,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3,96,120,80,2145,586,1,1,100,61,68,89.7,34,51,66.7,0,0,3,0,0,4
122,Sergio Arribas\Sergio-Arribas,es ESP,FW,Leganés,es La Liga,22,1995,0.3,,,,,,,,,,,,,,,0,,,,,
123,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,545,862,63.2,23152,17448,0,1,0,147,150,98,398,711,56,0,0,28,0,0,0
124,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,486,567,85.7,9467,2229,7,13,53.8,361,394,91.6,118,160,73.8,0,2,52,4,1,49
125,Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.1,75,90,83.3,1629,463,1,1,100,48,54,88.9,26,35,74.3,0,0,2,0,0,2
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,1118,1276,87.6,20951,5838,9,25,36,886,962,92.1,223,289,77.2,0,14,95,15,8,106
127,Takuma Asano\Takuma-Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8,134,185,72.4,2153,525,1,13,7.7,114,146,78.1,19,26,73.1,0,9,7,8,2,17
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,964,1159,83.2,17155,3940,16,35,45.7,775,890,87.1,173,234,73.9,1,9,79,8,1,93
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,277,469,59.1,9669,6601,3,3,100,118,121,97.5,156,345,45.2,0,0,4,0,0,0
130,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,1028,1226,83.8,17010,3920,11,31,35.5,867,970,89.4,150,225,66.7,4,52,93,40,12,120
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,971,1290,75.3,16511,3502,14,54,25.9,786,975,80.6,171,261,65.5,5,58,69,51,6,116
132,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,436,606,71.9,10200,5030,4,14,28.6,264,313,84.3,168,279,60.2,0,8,57,7,4,78
133,Simon Asta\Simon-Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,5,7,71.4,103,38,0,1,0,3,3,100,2,3,66.7,0,0,0,0,0,0
134,Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25,1306,1507,86.7,27670,8553,13,28,46.4,889,949,93.7,404,530,76.2,1,6,86,7,0,80
135,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,25,1992,19.8,363,515,70.5,5275,1585,12,41,29.3,313,390,80.3,38,84,45.2,2,26,18,18,7,44
136,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,219,319,68.7,2890,505,11,28,39.3,195,250,78,13,41,31.7,4,13,8,5,2,13
