Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,5,33,12,36.4,1.36,0.49,0.15,0.42,4,0,0
2,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,3,0,0,0.52,0,0,,0,0,0
3,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,0,2,0,0,1.29,0,0,,0,0,0
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,1,4,2,50,0.34,0.17,0.25,0.5,0,0,0
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,0,2,1,50,0.36,0.18,0,0,0,0,0
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,0,0,0,,0,0,,,0,0,0
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0,0,2,0,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,0,11,1,9.1,0.43,0.04,0,0,0,0,0
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,5,43,14,32.6,2.24,0.73,0.12,0.36,0,0,0
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,0,5,0,0,0.53,0,0,,0,0,0
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,0,15,2,13.3,0.39,0.05,0,0,0,0,0
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,0,0,0
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,0,9,2,22.2,1.97,0.44,0,0,2,0,1
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,0,0,0,,0,0,,,0,0,0
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,2,32,14,43.8,1.57,0.68,0.03,0.07,6,1,2
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,0,5,1,20,0.15,0.03,0,0,0,0,0
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,0,15,3,20,1.11,0.22,0,0,0,0,0
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,0,0,0,,0,0,,,0,0,0
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,0,11,3,27.3,0.59,0.16,0,0,4,0,0
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,0,0,0,,0,0,,,0,0,0
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,9,54,25,46.3,2.26,1.04,0.11,0.24,0,3,5
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,0,0,0,,0,0,,,0,0,0
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,0,8,3,37.5,1.18,0.44,0,0,0,0,0
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,0,3,1,33.3,0.15,0.05,0,0,0,0,0
25,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,5,2,40,1.89,0.76,0,0,0,0,0
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,21,92,38,41.3,4.22,1.74,0.18,0.45,1,4,4
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,0,15,5,33.3,0.55,0.18,0,0,0,0,0
28,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,0,9,0,0,0.7,0,0,,0,0,0
29,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,5,44,7,15.9,1.32,0.21,0.11,0.71,0,0,0
30,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,0,1,0,0,0.83,0,0,,0,0,0
