Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
702,Josip Drmić\Josip-Drmic,ch SUI,FW,M'gladbach,de Bundesliga,25,1992,5,2,222,2,0,0,0,0,0
703,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,0,0,0,0,0,0
704,Óscar Duarte\Oscar-Duarte,cr CRC,DFMF,Espanyol,es La Liga,29,1989,11,7,660,0,0,0,0,0,0
705,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,22,1995,33,33,2772,0,0,0,0,10,1
706,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,1994,25,21,2044,1,6,0,0,2,0
707,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,0,0,0,0,1,0
708,Marvin Ducksch\Marvin-Ducksch,de GER,FW,Düsseldorf,de Bundesliga,24,1994,16,8,823,1,1,0,0,1,0
709,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,de Bundesliga,23,1994,32,30,2563,11,5,0,0,7,0
710,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,26,1992,35,35,3087,5,1,0,0,4,1
711,Demeaco Duhaney\Demeaco-Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,1998,1,1,45,0,0,0,0,0,0
712,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,26,1991,26,21,1990,0,0,0,0,1,0
713,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,it Serie A,25,1993,26,21,1848,4,4,0,0,7,1
714,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,26,1991,36,36,3151,2,1,0,0,6,1
715,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,940,0,0,0,0,1,0
716,Erik Durm\Erik-Durm,de GER,DF,Huddersfield,eng Premier League,26,1992,28,21,2055,0,1,0,0,0,0
717,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,29,1989,36,21,1899,4,1,2,2,5,0
718,Riza Durmisi\Riza-Durmisi,dk DEN,DFMF,Lazio,it Serie A,24,1994,10,2,326,0,1,0,0,4,0
719,Hugo Duro\Hugo-Duro,es ESP,MFFW,Getafe,es La Liga,18,1999,11,5,417,0,0,0,0,0,0
720,Raphael Dwamena\Raphael-Dwamena,gh GHA,FW,Levante,es La Liga,22,1995,12,1,222,0,1,0,0,0,0
721,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,it Serie A,24,1993,30,24,2137,5,4,1,1,2,0
722,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,32,1986,33,28,2579,9,6,0,0,9,0
723,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,32,1986,28,20,1750,1,1,0,0,4,0
724,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,1997,27,27,2426,3,0,0,0,5,0
725,Dennis Eckert\Dennis-Eckert,de GER,FW,Celta Vigo,es La Liga,21,1997,9,1,216,0,0,0,0,0,0
726,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Cardiff City,eng Premier League,30,1988,38,37,3376,0,1,0,0,0,0
727,Simone Edera\Simone-Edera,it ITA,FWMF,Torino,it Serie A,21,1997,3,1,77,0,0,0,0,0,0
728,Simone Edera\Simone-Edera,it ITA,FW,Bologna,it Serie A,21,1997,4,3,196,0,0,0,0,1,0
729,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,0,1,0,0,2,0
730,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,20,1998,23,12,1113,4,1,0,0,0,0
731,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,1996,34,34,3052,5,4,0,0,4,0
732,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,29,1989,32,30,2646,0,0,0,0,6,0
733,Josip Elez\Josip-Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,10,7,646,0,0,0,0,1,0
734,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,eng Premier League,15,2003,2,0,20,0,0,0,0,0,0
735,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,26,1992,8,5,380,0,0,0,0,0,0
736,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,27,24,2254,1,0,0,0,5,0
737,Gorka Elustondo\Gorka-Elustondo,es ESP,MF,Rayo Vallecano,es La Liga,31,1987,5,3,285,0,0,0,0,1,0
738,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,21,1996,30,30,2623,2,1,0,0,1,0
739,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,24,1993,5,5,430,0,0,0,0,1,0
740,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,23,1994,16,8,793,0,0,0,0,0,0
741,Adri Embarba\Adri-Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,26,1992,36,27,2282,5,6,3,3,5,1
742,Breel Embolo\Breel-Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,1997,20,15,1345,5,1,0,0,4,0
743,Emerson\Emerson,br BRA,DF,Betis,es La Liga,19,1999,6,4,317,0,0,0,0,1,0
744,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,1997,31,22,2106,9,2,0,0,7,0
745,Björn Engels\Bjorn-Engels,be BEL,DF,Reims,fr Ligue 1,23,1994,33,33,2970,1,1,0,0,4,0
746,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,28,1990,35,30,2582,7,4,0,0,4,0
747,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,28,1990,13,9,631,0,0,0,0,2,0
748,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,26,1992,35,30,2774,8,12,0,0,3,0
749,Patrick Erras\Patrick-Erras,de GER,MF,Nürnberg,de Bundesliga,23,1995,19,13,1222,0,1,0,0,1,0
750,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,32,18,1789,4,1,0,0,6,0
751,Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,es La Liga,28,1989,21,18,1545,0,1,0,0,8,1
752,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,es La Liga,29,1989,31,31,2727,1,1,0,0,6,2
753,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,0,0,0,0,3,0
754,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,17,15,1251,0,0,0,0,3,0
755,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,0,0,0,0,2,0
756,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,27,25,2031,1,2,0,0,8,0
757,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,31,30,2677,4,0,0,0,10,0
758,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,14,9,720,1,0,0,0,0,0
759,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,24,21,1996,1,0,0,0,2,0
760,Ewerton\Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,18,15,1341,0,0,0,0,2,0
761,Valentin Eysseric\Valentin-Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,8,4,358,0,1,0,0,1,0
762,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,5,3,209,1,0,1,2,1,0
763,Marco Fabián\Marco-Fabian,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,1,1,62,0,0,0,0,0,0
764,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,0,0,0,0,0,0
765,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,28,21,2017,1,2,0,0,6,0
766,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,28,1990,20,15,1276,0,2,0,0,4,1
767,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,eng Premier League,31,1987,6,1,180,0,0,0,0,1,0
768,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,13,12,966,1,0,0,0,2,0
769,Fabricio\Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,0,0,0,0,0,0
770,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1470,0,0,0,0,0,0
771,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,fr Ligue 1,20,1998,1,1,90,0,0,0,0,1,0
772,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36,36,3240,5,4,0,0,6,0
773,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,fr Ligue 1,32,1986,33,29,2557,15,2,3,4,10,0
774,Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Bologna,it Serie A,27,1991,16,8,703,0,1,0,0,0,0
775,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,7,7,600,0,0,0,0,0,0
776,Iago Falque\Iago-Falque,es ESP,FWMF,Torino,it Serie A,28,1990,26,19,1612,6,4,0,0,1,0
777,Paolo Faragò\Paolo-Farago,it ITA,MFDF,Cagliari,it Serie A,25,1993,26,17,1703,1,1,0,0,8,1
778,Mohamed Fares\Mohamed-Fares,dz ALG,DFMF,SPAL,it Serie A,22,1996,35,32,2949,3,0,0,0,12,0
779,Diego Farias\Diego-Farias,br BRA,FW,Empoli,it Serie A,28,1990,16,16,1193,4,4,0,0,1,0
780,Diego Farias\Diego-Farias,br BRA,FW,Cagliari,it Serie A,28,1990,16,7,700,3,0,0,0,3,0
781,Andrea Favilli\Andrea-Favilli,it ITA,FWMF,Genoa,it Serie A,21,1997,6,0,170,0,2,0,0,0,0
782,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,31,1987,34,31,2806,5,0,0,0,6,0
783,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,29,1989,21,19,1702,1,1,0,0,7,0
784,Nabil Fekir\Nabil-Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,1993,29,24,1988,9,7,4,6,5,0
785,Yassin Fekir\Yassin-Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,1997,1,0,12,0,0,0,0,0,0
786,Felipe\Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,17,14,1095,2,0,0,0,5,1
787,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,21,1997,17,15,1289,1,1,0,0,4,0
788,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,11,2,244,0,0,0,0,2,0
789,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,1987,14,6,752,0,1,0,0,1,0
790,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,27,1991,29,22,2049,1,1,0,0,1,0
791,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,29,23,1970,2,0,0,0,9,1
792,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,28,28,2225,1,0,0,0,10,1
793,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,0,0,0,0,0,0
794,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,0,0,0,0,2,0
795,Borja Fernández\Borja-Fernandez,es ESP,MFDF,Valladolid,es La Liga,37,1981,19,10,841,0,0,0,0,4,0
796,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,19,17,1484,0,1,0,0,2,0
797,Joaquín Fernández\Joaquin-Fernandez,es ESP,DFMF,Valladolid,es La Liga,22,1996,13,9,839,1,0,0,0,2,0
798,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,29,27,2377,1,3,0,0,5,0
799,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,33,24,2175,2,2,0,0,1,0
800,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6,6,540,0,0,0,0,2,0
801,David Ferreiro\David-Ferreiro,es ESP,FWMF,Huesca,es La Liga,30,1988,35,23,2280,1,3,0,0,5,0
802,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,27,1991,9,1,211,1,0,0,0,2,0
803,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,24,21,1874,2,1,0,0,5,0
804,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,4,1,116,0,0,0,0,0,0
805,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,18,13,1055,3,0,0,0,4,0
806,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,18,17,1335,10,1,4,4,2,0
807,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,34,31,2607,12,6,1,1,0,0
808,Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,es La Liga,21,1996,24,22,1937,3,4,0,0,7,0
809,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,10,4,453,0,0,0,0,5,0
810,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,0,0,0,0,0,0
811,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,36,1981,20,11,976,3,1,0,0,3,0
812,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,29,24,2180,3,2,0,0,5,1
813,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,13,3,335,1,0,0,0,0,0
814,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,fr Ligue 1,25,1992,3,2,186,0,0,0,0,1,0
815,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,fr Ligue 1,25,1992,10,4,479,0,0,0,0,2,0
816,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,31,31,2639,2,4,0,0,5,0
817,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,2,1,161,0,0,0,0,0,0
818,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,17,10,912,2,1,0,0,0,0
819,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32,32,2880,0,0,0,0,7,0
820,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,7,4,420,0,1,0,0,1,0
821,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,36,36,3110,3,1,0,0,5,1
822,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,fr Ligue 1,28,1990,18,5,627,1,0,0,0,1,0
823,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,35,28,2479,2,3,0,0,4,0
824,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,20,14,1249,4,7,3,3,0,0
825,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,0,0,0,0,0,0
826,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,3,1,136,0,0,0,0,0,0
827,Iver Fossum\Iver-Fossum,no NOR,MFFW,Hannover 96,de Bundesliga,22,1996,9,5,455,0,0,0,0,0,0
828,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,0,0,0,0,1,0
829,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,12,10,793,0,0,0,0,3,0
830,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFFW,Getafe,es La Liga,25,1993,25,23,1799,3,2,0,0,7,0
831,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,12,10,888,1,0,0,0,3,1
832,Raphael Framberger\Raphael-Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,7,6,548,0,0,0,0,2,0
833,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,17,13,1229,0,2,0,0,1,0
834,Mike Frantz\Mike-Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,31,29,2216,2,1,0,0,2,0
835,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,24,1994,38,35,3166,7,14,0,0,2,0
836,Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,0,0,0,0,0,0
837,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,17,13,1041,1,1,0,0,2,0
838,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,15,12,1086,1,0,0,0,5,0
839,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,35,35,3022,2,6,0,0,4,0
840,Nicolas Frey\Nicolas-Frey,fr FRA,DF,Chievo,it Serie A,34,1984,5,3,227,0,0,0,0,0,0
841,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,7,5,474,0,0,0,0,3,0
842,Alexander Fuchs\Alexander-Fuchs,de GER,MF,Nürnberg,de Bundesliga,21,1997,9,8,655,1,0,0,0,3,0
843,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,3,2,207,0,0,0,0,0,0
844,Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,5,3,233,0,0,0,0,1,0
845,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,31,18,1635,4,1,0,0,1,0
846,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,14,13,1112,2,1,1,1,1,0
847,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,31,29,2627,2,1,0,0,15,0
848,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,26,1991,12,4,476,1,0,0,0,0,0
849,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,18,8,812,4,2,0,0,5,0
850,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,de Bundesliga,23,1995,29,16,1626,0,1,0,0,3,0
851,Gianluca Gaetano\Gianluca-Gaetano,it ITA,FW,Napoli,it Serie A,18,2000,2,0,8,0,0,0,0,0,0
852,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,19,13,1087,5,0,0,0,4,0
853,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,34,34,3045,0,2,0,0,7,0
854,Milan Gajić\Milan-Gajic,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1,1,90,0,0,0,0,0,0
855,Javi Galán\Javi-Galan,es ESP,DFMF,Huesca,es La Liga,23,1994,16,16,1440,0,2,0,0,7,0
856,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,eng Premier League,22,1995,4,0,34,0,0,0,0,0,0
857,Álex Gallar\Alex-Gallar,es ESP,MFFW,Huesca,es La Liga,26,1992,25,10,1009,4,1,1,1,2,0
858,Enric Gallego\Enric-Gallego,es ESP,FW,Huesca,es La Liga,31,1986,19,17,1539,5,1,0,0,4,0
859,Álex Gálvez\Alex-Galvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,17,17,1412,1,0,0,0,6,0
860,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,31,1987,33,16,1612,6,1,0,0,1,0
861,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,eng Premier League,28,1989,33,32,2822,0,2,0,0,6,0
862,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Nice,fr Ligue 1,19,1999,20,9,1036,2,0,0,0,1,0
863,Cristian Ganea\Cristian-Ganea,ro ROU,MF,Athletic Club,es La Liga,26,1992,1,1,49,0,0,0,0,0,0
864,Ganso\Ganso,br BRA,MFFW,Amiens,fr Ligue 1,28,1989,12,5,520,0,2,0,0,0,0
865,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,es La Liga,31,1986,24,24,2136,2,0,0,0,4,0
866,Borja Garcés\Borja-Garces,es ESP,FWMF,Atlético Madrid,es La Liga,18,1999,1,0,20,1,0,0,0,0,0
867,Alberto García\Alberto-Garcia,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,0,0,0,0,1,0
868,Aleix García\Aleix-Garcia,es ESP,MF,Girona,es La Liga,21,1997,31,20,1663,2,1,0,0,1,0
869,Álvaro García\Alvaro-Garcia,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,35,17,1766,4,2,0,0,3,0
870,Borja García\Borja-Garcia,es ESP,FWMF,Girona,es La Liga,27,1990,33,30,2629,1,3,0,0,0,1
871,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,es La Liga,28,1990,29,29,2476,0,1,0,0,13,0
872,Javi García\Javi-Garcia,es ESP,DFMF,Betis,es La Liga,31,1987,13,6,524,0,0,0,0,0,1
873,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,32,1986,34,25,2330,2,1,0,0,6,0
874,Manu García\Manu-Garcia,es ESP,MF,Toulouse,fr Ligue 1,20,1998,31,21,1843,0,4,0,0,2,1
875,Raúl García\Raul-Garcia,es ESP,DF,Leganés,es La Liga,29,1989,5,4,381,0,0,0,0,1,0
876,Raúl García\Raul-Garcia,es ESP,DF,Girona,es La Liga,29,1989,10,10,850,0,1,0,0,1,0
877,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,es La Liga,32,1986,33,27,2369,9,3,2,4,12,0
878,Sergio García\Sergio-Garcia,es ESP,FWMF,Espanyol,es La Liga,35,1983,29,17,1486,2,1,0,0,3,0
879,James Garner\James-Garner,eng ENG,MF,Manchester Utd,eng Premier League,17,2001,1,0,1,0,0,0,0,0,0
880,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,27,1990,31,30,2599,1,2,0,0,17,1
881,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,0,0,0,0,0,0
882,Marcello Gazzola\Marcello-Gazzola,it ITA,DFMF,Parma,it Serie A,33,1985,20,9,921,1,0,0,0,3,0
883,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Mainz 05,de Bundesliga,22,1995,31,30,2672,2,1,0,0,3,0
884,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,0,0,0,0,1,0
885,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,31,1986,32,32,2814,3,2,0,0,2,0
886,Dennis Geiger\Dennis-Geiger,de GER,MFFW,Hoffenheim,de Bundesliga,20,1998,4,2,246,0,1,0,0,1,0
887,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,fr Ligue 1,21,1997,22,12,1278,0,0,0,0,3,1
888,Romain Genevois\Romain-Genevois,ht HAI,DF,Caen,fr Ligue 1,30,1987,6,5,357,0,0,0,0,0,0
889,Christian Gentner\Christian-Gentner,de GER,MF,Stuttgart,de Bundesliga,32,1985,29,24,2018,0,5,0,0,3,0
890,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,24,1994,30,28,2455,2,2,0,0,2,0
891,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,fr Ligue 1,28,1990,36,23,2170,8,2,0,0,1,0
892,Gerson\Gerson,br BRA,MFFW,Fiorentina,it Serie A,21,1997,36,27,2426,3,3,0,0,9,0
893,Gervinho\Gervinho,ci CIV,FW,Parma,it Serie A,31,1987,30,27,2304,11,2,0,0,3,0
894,Willem Geubbels\Willem-Geubbels,fr FRA,MF,Monaco,fr Ligue 1,16,2001,1,0,8,0,0,0,0,0,0
895,Lamine Ghezali\Lamine-Ghezali,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,1999,6,0,44,1,0,0,0,1,0
896,Rachid Ghezzal\Rachid-Ghezzal,dz ALG,FWMF,Leicester City,eng Premier League,26,1992,19,8,743,1,0,0,0,3,0
897,Paolo Ghiglione\Paolo-Ghiglione,it ITA,MFDF,Frosinone,it Serie A,21,1997,9,6,514,1,0,0,0,4,0
898,Saman Ghoddos\Saman-Ghoddos,ir IRN,FWMF,Amiens,fr Ligue 1,24,1993,27,20,1827,4,4,0,0,4,0
899,Faouzi Ghoulam\Faouzi-Ghoulam,dz ALG,DF,Napoli,it Serie A,27,1991,16,12,1154,1,3,0,0,2,0
900,Emanuele Giaccherini\Emanuele-Giaccherini,it ITA,MFFW,Chievo,it Serie A,33,1985,26,22,2009,3,1,1,2,8,0
901,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,eng Premier League,18,2000,26,5,663,0,1,0,0,1,0
902,Ben Gibson\Ben-Gibson,eng ENG,DF,Burnley,eng Premier League,25,1993,1,1,62,1,0,0,0,1,0
903,Fabian Giefer\Fabian-Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,0,0,0,0,0,0
904,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,de Bundesliga,26,1991,30,29,2593,0,3,0,0,2,0
905,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,de Bundesliga,27,1991,24,12,1276,6,2,0,0,4,0
906,Matthias Ginter\Matthias-Ginter,de GER,DF,M'gladbach,de Bundesliga,24,1994,27,27,2379,2,0,0,0,2,0
907,Andrei Girotto\Andrei-Girotto,br BRA,MF,Nantes,fr Ligue 1,26,1992,20,18,1475,2,0,0,0,6,3
908,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,eng Premier League,31,1986,27,7,847,2,4,0,0,1,0
909,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,fr Ligue 1,30,1988,33,33,2970,1,0,0,0,10,0
910,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,de Bundesliga,23,1995,30,21,1762,10,5,0,0,0,0
