Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,1,0,0,0,4,0
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,1,3,0,0,3,1
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,2,2,0,0,3,0
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,18,0,1,1,0,0
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,1,1,0,0,9,0
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,2,6,0,0,5,0
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,3,2,0,1,13,0
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,0,0,0,0,3,0
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,0,0,0,0,0,0
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0,0,0,0,0,0
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,4,2,146,0,0,0,0,2,1
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,2,0,0,0,2,0
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,0,0,0,0,0,0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,1,0,10,0,0,0,0,0,0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,1,12,0,0,3,0
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,5,0,0,0,1,0
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,0,0,0,0,1,0
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,0,0,0,0,1,0
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,0,0,0,0,1,0
