Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Att_VD,Tkl%_VD,Past_VD,Press,Press_Succ,Press%,P_D3,P_M3,P_A3,Blocks,Sh_Blk,ShSv,Pass_Blk,Int,Tkl+Int,Clr,Err
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,5,4,1,3,1,1,3,33.3,2,34,6,17.6,10,18,6,1,0,0,1,1,6,5,0
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,25,17,11,10,4,9,22,40.9,13,219,63,28.8,65,134,20,10,0,0,10,19,44,13,0
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,1,1,0,1,0,1,3,33.3,2,27,7,25.9,12,12,3,2,0,0,2,2,3,2,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24,64,44,40,17,7,21,53,39.6,32,468,152,32.5,212,194,62,67,4,1,63,39,103,41,0
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,21,16,7,10,4,7,38,18.4,31,319,78,24.5,98,193,28,22,3,0,19,21,42,3,1
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,29,24,14,15,0,10,40,25,30,255,69,27.1,96,139,20,20,5,0,15,17,46,18,0
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,2,2,1,1,0,0,0,,0,9,4,44.4,7,1,1,0,0,0,0,0,2,2,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17,15,7,0,8,7,6,17,35.3,11,277,57,20.6,14,155,108,9,2,0,7,5,20,9,0
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,34,25,19,11,4,5,19,26.3,14,161,60,37.3,92,63,6,27,12,0,15,29,63,102,1
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,33,17,22,9,2,14,29,48.3,15,171,44,25.7,99,50,22,16,2,0,14,22,55,38,0
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,60,37,42,15,3,17,35,48.6,18,395,116,29.4,281,102,12,70,37,2,33,32,92,237,0
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,4,3,4,0,0,1,1,100,0,14,7,50,9,3,2,2,0,0,2,1,5,8,0
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,7,5,2,5,0,0,4,0,4,138,35,25.4,16,77,45,6,0,0,6,5,12,2,0
39,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,23,1995,5.5,22,11,11,11,0,8,19,42.1,11,107,43,40.2,62,43,2,21,4,0,17,12,34,14,3
40,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,de Bundesliga,23,1995,3.5,6,4,4,1,1,2,4,50,2,49,15,30.6,33,14,2,10,2,0,8,11,17,17,0
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,30,21,13,11,6,9,26,34.6,17,249,108,43.4,85,93,71,48,3,0,45,36,66,41,0
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,73,36,44,26,3,27,69,39.1,42,421,131,31.1,247,131,43,43,6,0,37,41,114,53,0
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,13,9,4,7,2,2,12,16.7,10,287,90,31.4,17,133,137,14,3,0,11,1,14,11,0
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,45,33,23,15,7,18,53,34,35,450,154,34.2,174,190,86,74,7,0,67,60,105,75,0
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,46,28,11,28,7,18,61,29.5,43,590,175,29.7,111,315,164,32,3,0,29,10,56,5,0
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19,23,17,19,4,0,7,18,38.9,11,107,35,32.7,73,31,3,31,18,1,13,20,43,90,1
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,40,25,30,8,2,18,48,37.5,30,298,86,28.9,145,112,41,36,3,0,33,18,58,38,0
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,37,23,16,15,6,12,43,27.9,31,393,101,25.7,141,166,86,30,3,0,27,22,59,19,0
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,4,4,1,2,1,0,8,0,8,189,43,22.8,12,77,100,6,0,0,6,6,10,5,0
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,31,20,23,8,0,15,25,60,10,167,46,27.5,105,59,3,25,16,1,9,36,67,178,1
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,85,66,32,40,13,16,45,35.6,29,388,127,32.7,91,239,58,29,6,0,23,44,129,25,0
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,98,66,56,37,5,38,119,31.9,81,706,194,27.5,299,371,36,60,9,0,51,38,136,62,1
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,41,23,32,9,0,9,29,31,20,215,76,35.3,140,65,10,54,26,1,28,25,66,162,1
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,1,1,0,1,0,1,5,20,4,33,10,30.3,4,19,10,2,0,0,2,0,1,0,0
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,1,0,0,1,0,0,6,0,6,54,9,16.7,8,36,10,1,0,0,1,0,1,1,0
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,6,3,1,5,0,1,8,12.5,7,181,42,23.2,20,112,49,5,0,0,5,2,8,4,0
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,0,0,0,0,0,0,5,0,5,4,0,0,4,0,0,0,0,0,0,3,3,2,2
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,1,1,1,0,0,1,2,50,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,57,28,29,21,7,25,73,34.2,48,368,120,32.6,177,126,65,35,3,1,32,35,92,65,1
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,9,6,1,6,2,4,15,26.7,11,271,68,25.1,17,143,111,18,1,0,17,9,18,8,0
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,1,1,0,4
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,0,0,0,0,0,0,1,0,1,4,3,75,4,0,0,0,0,0,0,0,0,1,3
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2,4,3,3,0,1,1,4,25,3,45,10,22.2,18,21,6,6,2,0,4,0,4,0,0
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,124,92,45,61,18,42,129,32.6,87,939,264,28.1,258,536,145,66,9,0,57,35,159,25,0
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,32,26,8,13,11,6,26,23.1,20,470,127,27,119,218,133,36,4,1,32,18,50,15,0
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,17,11,6,9,2,3,11,27.3,8,231,61,26.4,43,130,58,16,2,0,14,9,26,5,0
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6,11,6,6,4,1,3,15,20,12,62,18,29,32,23,7,16,2,0,14,5,16,17,0
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,67,38,40,19,8,18,53,34,35,531,151,28.4,285,163,83,60,4,0,56,38,105,86,1
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,12,3,8,3,1,4,6,66.7,2,54,15,27.8,31,13,10,12,2,0,10,11,23,24,0
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,30,22,9,19,2,10,22,45.5,12,163,50,30.7,60,87,16,16,3,0,13,17,47,56,1
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29,54,35,40,13,1,18,45,40,27,201,77,38.3,129,64,8,44,14,0,30,63,117,217,1
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,16,8,13,3,0,3,12,25,9,188,54,28.7,141,43,4,50,32,1,18,29,45,243,0
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18,43,29,17,22,4,13,41,31.7,28,472,128,27.1,118,256,98,26,4,0,22,9,52,10,1
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,1,0,0,1,0,0,2,0,2,4,1,25,2,2,0,1,0,0,1,1,2,1,0
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,27,20,11,13,3,5,13,38.5,8,135,43,31.9,52,69,14,8,3,0,5,11,38,26,0
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28,59,41,19,37,3,18,80,22.5,62,603,151,25,169,359,75,50,13,2,37,48,107,39,0
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,16,8,11,5,0,5,12,41.7,7,86,35,40.7,58,24,4,14,4,0,10,15,31,18,0
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,45,28,29,16,0,20,46,43.5,26,265,98,37,173,88,4,56,12,0,44,43,88,146,0
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,17,10,5,11,1,5,27,18.5,22,287,61,21.3,70,144,73,20,0,0,20,10,27,6,0
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,69,29,37,21,11,27,47,57.4,20,325,111,34.2,196,93,36,56,9,0,47,49,118,82,1
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,77,46,59,14,4,21,41,51.2,20,459,152,33.1,281,131,47,60,15,0,45,36,113,121,1
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,20,12,8,9,3,5,19,26.3,14,159,46,28.9,45,85,29,9,0,0,9,9,29,4,0
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0,0,0,0,0,0,0,0,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0,1,1,0,1,0,0,0,,0,2,2,100,0,2,0,0,0,0,0,0,1,0,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,20,29,3,0,14,30,46.7,16,155,47,30.3,99,50,6,38,18,0,20,35,67,146,3
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,76,44,29,37,10,23,100,23,77,751,172,22.9,253,361,137,67,0,0,67,45,121,10,0
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,11,9,3,4,4,1,11,9.1,10,241,47,19.5,35,95,111,9,1,0,8,5,16,11,0
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,92,66,37,41,14,26,110,23.6,84,715,206,28.8,219,385,111,52,7,0,45,49,141,65,0
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,1,1,1,0,0,1,2,50,1,6,0,0,6,0,0,2,1,0,1,1,2,7,0
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,9,7,5,4,0,4,11,36.4,7,67,15,22.4,42,23,2,6,2,0,4,6,15,58,1
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0,0,0,0,0,0,0,1,0,1,6,1,16.7,5,1,0,0,0,0,0,1,1,1,0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,1,0,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,73,44,39,26,8,29,60,48.3,31,396,140,35.4,193,155,48,57,6,1,51,41,114,132,0
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,44,24,18,20,6,11,33,33.3,22,340,102,30,113,164,63,40,3,0,37,17,61,29,0
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,11,7,3,3,5,5,13,38.5,8,382,63,16.5,46,194,142,12,0,0,12,6,17,2,0
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,51,35,38,11,2,20,49,40.8,29,296,99,33.4,201,85,10,65,34,1,31,73,124,193,4
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,12,9,4,3,5,5,15,33.3,10,110,40,36.4,46,43,21,30,3,0,27,14,26,27,0
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,2,2,0,2,0,0,2,0,2,17,6,35.3,4,9,4,2,1,0,1,0,2,3,0
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,31,22,13,10,8,10,18,55.6,8,395,84,21.3,114,166,115,52,4,0,48,19,50,29,0
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,37,13,18,13,6,18,51,35.3,33,299,58,19.4,137,118,44,38,7,1,31,18,55,31,0
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,43,26,25,16,2,27,50,54,23,348,100,28.7,179,118,51,61,9,0,52,43,86,70,1
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12,30,19,16,13,1,10,17,58.8,7,276,67,24.3,95,160,21,23,1,0,22,11,41,29,2
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,13,8,4,8,1,4,14,28.6,10,138,45,32.6,49,74,15,8,1,0,7,10,23,18,0
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34,57,36,27,20,10,12,63,19,51,595,163,27.4,181,302,112,42,5,0,37,32,89,20,0
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,0,0,0,0,0,0,1,0,1,5,1,20,0,3,2,0,0,0,0,0,0,0,0
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,76,54,19,48,9,23,78,29.5,55,858,200,23.3,195,539,124,55,4,0,51,30,106,33,0
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7,6,5,3,3,0,2,6,33.3,4,90,27,30,44,34,12,6,2,0,4,9,15,11,0
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21,47,33,18,25,4,13,68,19.1,55,453,150,33.1,140,235,78,36,2,0,34,26,73,28,0
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,23,11,7,13,3,9,25,36,16,233,58,24.9,37,122,74,7,1,0,6,4,27,3,0
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,36,24,26,9,1,18,33,54.5,15,222,61,27.5,164,50,8,48,20,2,28,35,71,190,3
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,31,18,25,5,1,12,25,48,13,141,40,28.4,84,51,6,26,8,0,18,46,77,146,5
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,0,0,0,0,,0,10,1,10,0,4,6,0,0,0,0,0,0,0,0
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,55,34,40,15,0,13,36,36.1,23,206,82,39.8,115,70,21,28,1,0,27,34,89,46,0
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,20,12,14,5,1,4,10,40,6,135,46,34.1,101,28,6,42,24,0,18,18,38,124,0
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,0,0,0,0,,0,10,1,10,7,2,1,1,0,0,1,0,0,0,0
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,37,18,25,10,2,14,39,35.9,25,324,91,28.1,193,108,23,15,2,0,13,22,59,69,0
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,32,14,15,7,10,5,44,11.4,39,417,110,26.4,101,214,102,21,0,0,21,12,44,8,0
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,2,1,2,0,0,1,4,25,3,28,4,14.3,12,14,2,0,0,0,0,2,4,1,0
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,10,6,3,4,3,2,10,20,8,335,71,21.2,29,133,173,12,3,0,9,3,13,7,0
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,53,33,26,24,3,27,70,38.6,43,526,123,23.4,174,265,87,46,13,0,33,38,91,47,0
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,55,40,18,28,9,16,53,30.2,37,763,174,22.8,186,407,170,35,5,0,30,21,76,17,0
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,45,21,22,17,6,22,52,42.3,30,270,84,31.1,111,120,39,43,7,1,36,38,83,49,1
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,5,4,3,0,2,1,5,20,4,195,48,24.6,53,90,52,10,0,0,10,2,7,1,1
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27,78,41,47,29,2,22,78,28.2,56,628,168,26.8,286,280,62,59,13,0,46,44,122,40,1
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,0,1,3,3,2,0
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,14,8,5,6,3,3,24,12.5,21,257,62,24.1,46,122,89,18,0,0,18,14,28,3,0
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25,14,10,5,5,4,3,18,16.7,15,475,114,24,43,274,158,14,0,0,14,16,30,4,0
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1,3,1,2,1,0,0,1,0,1,15,2,13.3,12,1,2,3,1,0,2,3,6,1,0
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,27,16,11,10,6,6,25,24,19,409,93,22.7,118,204,87,22,2,0,20,8,35,8,0
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,61,33,33,24,4,27,68,39.7,41,462,137,29.7,206,178,78,58,9,1,49,57,118,44,0
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,21,12,5,8,8,5,35,14.3,30,597,150,25.1,81,275,241,36,0,0,36,9,30,13,0
