Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Att_VD,Tkl%_VD,Past_VD,Press,Press_Succ,Press%,P_D3,P_M3,P_A3,Blocks,Sh_Blk,ShSv,Pass_Blk,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,14,4,8,6,0,3,7,42.9,4,66,12,18.2,36,24,6,7,0,0,7,7,21,9,0
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,46,32,32,11,3,18,45,40,27,421,115,27.3,300,86,35,61,10,0,51,42,88,98,1
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,37,21,19,14,4,13,30,43.3,17,199,56,28.1,102,77,20,34,5,0,29,18,55,53,1
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,67,35,51,15,1,26,43,60.5,17,359,128,35.7,271,80,8,78,24,0,54,63,130,240,2
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,58,40,28,22,8,13,41,31.7,28,449,117,26.1,137,237,75,37,10,0,27,29,87,22,0
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,6,4,3,1,2,4,5,80,1,11,2,18.2,4,1,6,0,0,0,0,0,6,0,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,28,19,17,9,2,8,26,30.8,18,181,68,37.6,112,60,9,40,11,1,29,28,56,65,0
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,19,12,8,8,3,4,20,20,16,202,48,23.8,71,106,25,11,2,0,9,19,38,10,0
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,51,30,29,16,6,14,26,53.8,12,259,96,37.1,173,71,15,63,31,0,32,66,117,181,2
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,26,13,10,12,4,3,15,20,12,308,65,21.1,101,153,54,17,1,0,16,13,39,13,0
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,27,21,12,11,4,11,22,50,11,210,81,38.6,65,112,33,13,1,0,12,18,45,11,0
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,13,7,5,7,1,9,17,52.9,8,87,21,24.1,33,37,17,9,1,0,8,7,20,10,0
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,31,24,20,11,0,13,31,41.9,18,158,68,43,85,67,6,36,11,0,25,28,59,118,0
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3,7,3,3,2,2,1,2,50,1,47,13,27.7,24,14,9,3,1,0,2,1,8,3,0
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,3,1,0,2,1,2,4,50,2,57,16,28.1,13,29,15,3,0,0,3,2,5,1,0
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,3,2,3,0,0,1,5,20,4,21,6,28.6,10,9,2,2,1,0,1,3,6,4,0
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5,3,2,3,0,0,5,0,5,121,27,22.3,7,63,51,4,1,0,3,0,5,4,0
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,54,34,38,11,5,16,38,42.1,22,371,116,31.3,199,134,38,41,3,0,38,19,73,50,1
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,46,28,30,12,4,28,52,53.8,24,222,52,23.4,129,63,30,40,8,1,32,26,72,85,0
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,20,14,11,9,0,6,17,35.3,11,137,38,27.7,82,50,5,23,8,0,15,13,33,95,1
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,17,14,3,6,8,4,10,40,6,462,123,26.6,26,154,282,22,6,0,16,8,25,1,0
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,97,55,39,35,23,36,75,48,39,555,160,28.8,235,247,73,45,5,0,40,35,132,48,2
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,2,2,0,1,1,1,12,8.3,11,41,8,19.5,8,27,6,7,3,0,4,4,6,3,0
