Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
201,Antonio Barreca\Antonio-Barreca,it ITA,DFMF,Torino,it Serie A,22,1995,5.2,333,14,112,156,86,3,258,3,8,37.5,3,0,173,1091,634,178,157,88.2,6,5
202,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,33,1984,21.8,1313,26,214,788,360,32,1297,6,13,46.2,6,1,756,2171,1008,1017,910,89.5,25,15
203,Barri\Barri,es ESP,MFFW,Getafe,es La Liga,21,1995,1.3,33,5,10,17,9,1,33,2,3,66.7,2,0,20,143,119,21,17,81,2,0
204,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,18,1998,4.9,220,2,12,76,142,43,211,13,21,61.9,16,0,170,969,470,306,186,60.8,31,11
205,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,eng Premier League,36,1981,21.4,1116,48,262,706,216,16,1089,11,15,73.3,12,0,682,3627,1751,699,643,92,15,13
206,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,de Bundesliga,30,1987,12.5,557,5,56,260,292,57,550,26,51,51,29,3,469,3207,1706,638,438,68.7,38,42
207,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,eng Premier League,26,1991,2.6,152,27,97,52,9,5,152,0,0,,0,0,83,445,213,87,85,97.7,0,1
208,Marc Bartra\Marc-Bartra,es ESP,DF,Dortmund,de Bundesliga,26,1991,9,818,40,285,503,69,13,758,4,7,57.1,4,0,514,2788,1879,509,490,96.3,9,6
209,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,26,1991,15.8,1287,149,659,674,48,13,1252,14,15,93.3,14,0,897,5703,3351,828,820,99,9,8
210,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,it Serie A,36,1981,16.1,1388,84,515,854,79,1,1333,3,4,75,3,0,1006,4026,1919,1040,1031,99.1,3,5
211,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,25,1992,28,1682,67,426,957,437,46,1643,25,41,61,28,1,1163,6917,3306,1231,1130,91.8,32,42
212,Nicolas Basin\Nicolas-Basin,fr FRA,DF,Metz,fr Ligue 1,19,1998,3.5,193,13,70,83,48,2,169,0,1,0,0,0,101,464,234,100,96,96,0,1
213,Dušan Basta\Dusan-Basta,rs SRB,DFMF,Lazio,it Serie A,32,1984,8.6,457,22,134,204,147,18,400,4,6,66.7,5,0,286,1473,749,319,273,85.6,6,3
214,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,FW,Monaco,fr Ligue 1,20,1996,0.1,4,0,1,1,3,1,4,0,0,,0,0,3,53,25,7,3,42.9,0,1
215,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,FWMF,Fiorentina,it Serie A,20,1996,13.2,689,15,108,301,341,55,675,36,61,59,38,1,546,4099,2678,580,469,80.9,22,39
216,Samuel Bastien\Samuel-Bastien,be BEL,MFFW,Chievo,it Serie A,20,1996,15.1,641,26,128,347,214,11,634,9,17,52.9,10,0,430,2728,1350,489,408,83.4,15,25
217,Borja Bastón\Borja-Baston,es ESP,FW,Málaga,es La Liga,24,1992,11,332,8,35,159,151,39,316,1,9,11.1,2,0,198,920,348,443,242,54.6,24,11
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Atalanta,it Serie A,18,1999,1,99,2,27,55,19,6,89,1,2,50,2,0,61,262,142,66,63,95.5,0,2
219,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,26,1991,15.6,1013,96,539,497,55,12,988,14,16,87.5,14,1,713,4117,2095,703,692,98.4,5,6
220,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,eng Premier League,23,1993,4,147,5,7,75,76,18,142,6,8,75,8,0,106,673,410,209,115,55,16,13
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Dortmund,de Bundesliga,23,1993,9.3,299,7,16,140,150,49,278,10,22,45.5,10,0,184,874,390,422,213,50.5,27,19
222,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,eng Premier League,25,1992,14.5,585,38,196,216,206,12,468,7,18,38.9,9,0,282,2252,1175,308,253,82.1,14,10
223,Robert Bauer\Robert-Bauer,de GER,DF,Werder Bremen,de Bundesliga,22,1995,10.6,581,41,248,303,70,1,520,1,1,100,1,0,322,1696,882,326,302,92.6,6,2
224,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,1497,1216,1487,12,0,0,1183,0,0,,0,0,862,3721,1837,767,765,99.7,0,0
225,Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,de Bundesliga,21,1996,29,1867,163,878,962,121,21,1752,3,6,50,4,0,1064,5448,2538,1100,1066,96.9,6,8
226,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MFDF,Leverkusen,de Bundesliga,29,1988,15.5,1111,42,320,701,159,23,1071,7,8,87.5,7,0,749,3937,1777,763,727,95.3,4,12
227,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,es La Liga,22,1995,2.1,53,0,1,24,32,12,51,2,2,100,2,0,36,233,103,91,37,40.7,4,0
228,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,6.3,350,38,192,164,19,12,345,1,1,100,1,0,200,1709,1044,214,205,95.8,2,1
229,Paul Baysse\Paul-Baysse,fr FRA,DF,Málaga,es La Liga,29,1988,13.8,678,98,412,267,24,15,662,3,3,100,3,0,367,1666,671,352,344,97.7,1,1
230,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,20,1996,1.3,57,2,6,25,29,4,57,3,8,37.5,4,0,41,401,213,62,38,61.3,9,4
231,Hervé Bazile\Herve-Bazile,ht HAI,FWMF,Caen,fr Ligue 1,27,1990,9.8,500,4,85,178,281,26,456,18,40,45,21,3,316,2818,1461,399,302,75.7,34,23
232,Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,6.6,315,10,80,184,78,3,313,6,11,54.5,7,0,231,1083,526,236,211,89.4,7,4
233,Enrico Bearzotti\Enrico-Bearzotti,it ITA,DFFW,Hellas Verona,it Serie A,20,1996,4.6,230,21,93,96,53,2,204,2,3,66.7,2,0,134,580,329,153,129,84.3,9,4
234,Claudio Beauvue\Claudio-Beauvue,GPE,FW,Leganés,es La Liga,29,1988,18.6,501,17,36,258,244,62,477,11,20,55,11,0,307,1523,757,757,372,49.1,44,36
235,Bebé\Bebe,pt POR,MFFW,Eibar,es La Liga,27,1990,4.1,201,0,10,73,133,7,186,7,13,53.8,7,1,154,1177,527,198,135,68.2,12,7
236,Ihlas Bebou\Ihlas-Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,23,1994,23.8,1047,33,178,479,484,91,1044,70,117,59.8,73,1,796,5937,3661,1010,696,68.9,69,67
237,Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,de Bundesliga,30,1987,21.4,1371,43,292,718,432,20,1125,9,18,50,9,0,780,3552,1588,922,794,86.1,20,16
238,Henri Bedimo\Henri-Bedimo,cm CMR,DFMF,Marseille,fr Ligue 1,33,1984,0.5,28,3,10,15,5,0,26,0,0,,0,0,14,128,63,23,20,87,0,1
239,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,222,25,107,115,7,2,209,0,0,,0,0,129,513,235,122,120,98.4,2,1
240,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,1090,1008,1087,4,0,0,801,0,0,,0,0,482,2313,1329,353,352,99.7,1,0
241,Valon Behrami\Valon-Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,709,38,191,442,111,7,695,10,16,62.5,10,1,391,2084,996,340,314,92.4,5,14
242,Vid Belec\Vid-Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,97,87,97,0,0,0,75,0,0,,0,0,52,170,86,48,48,100,0,0
243,Vid Belec\Vid-Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,406,370,406,1,0,0,270,0,0,,0,0,164,940,556,120,118,98.3,0,0
244,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15,629,16,43,274,353,106,617,34,53,64.2,37,3,404,3038,1738,805,497,61.7,27,34
245,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,1181,170,657,556,46,19,1146,2,3,66.7,2,0,612,3631,2078,567,554,97.7,4,5
246,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,27,1990,12.7,732,6,81,321,386,55,698,31,52,59.6,35,1,594,4616,2784,640,528,82.5,24,34
247,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,eng Premier League,22,1995,33.9,2458,119,612,1017,970,112,2257,28,56,50,34,4,1609,8386,4839,1824,1632,89.5,37,24
248,François Bellugou\Francois-Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,1158,55,386,702,140,11,1150,16,24,66.7,20,0,709,3811,1527,733,685,93.5,9,10
249,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,1038,23,88,479,530,166,1002,27,49,55.1,30,1,691,4173,2256,1357,772,56.9,87,70
250,Chaouki Ben Saada\Chaouki-Ben-Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,3.8,250,7,44,110,122,9,238,13,16,81.3,13,1,199,1452,755,198,173,87.4,9,15
251,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,632,3,34,273,363,123,602,18,29,62.1,19,0,484,2764,1409,803,462,57.5,38,19
252,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,56,51,56,0,0,0,41,0,0,,0,0,29,213,128,17,17,100,0,0
253,Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9,477,20,111,262,135,13,452,7,10,70,7,0,314,1593,786,359,290,80.8,10,15
254,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,51,7,20,19,15,1,47,0,0,,0,0,18,94,60,21,21,100,1,0
255,Marco Benassi\Marco-Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,30.9,1688,35,276,904,618,92,1664,20,33,60.6,20,1,1143,5723,3059,1332,1157,86.9,44,31
256,Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,1558,172,792,821,40,15,1538,6,7,85.7,6,1,1116,5449,2429,1084,1068,98.5,2,4
257,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,17.7,1182,53,307,632,305,38,1069,13,17,76.5,13,0,667,3553,1965,762,688,90.3,14,11
258,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,1878,186,917,1013,78,33,1831,8,9,88.9,8,0,1207,7329,3818,1204,1178,97.8,5,3
259,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,de Bundesliga,19,1997,0.4,33,2,7,22,8,0,31,1,3,33.3,2,0,26,100,53,24,23,95.8,1,0
260,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,18.3,1223,9,128,564,642,72,1124,36,59,61,43,0,896,6978,3859,1066,883,82.8,43,40
261,Marcel Benger\Marcel-Benger,de GER,MF,M'gladbach,de Bundesliga,19,1998,0,2,0,1,1,0,0,2,0,0,,0,0,0,0,0,0,0,,0,0
262,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,688,638,687,2,0,0,530,0,0,,0,0,304,1200,647,262,261,99.6,0,0
263,Charlison Benschop\Charlison-Benschop,cw CUW,MFFW,Hannover 96,de Bundesliga,27,1989,2,80,2,14,35,33,7,77,1,5,20,1,0,54,196,85,76,55,72.4,4,4
264,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26,1722,116,657,844,340,28,1561,20,30,66.7,20,1,997,6157,3341,978,928,94.9,14,6
265,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,656,23,137,469,81,8,642,3,7,42.9,4,1,414,1932,833,408,392,96.1,10,10
266,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,609,15,130,415,114,4,599,8,16,50,8,0,451,2565,1463,471,456,96.8,1,5
267,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,941,47,86,427,473,134,913,21,35,60,23,0,408,2438,1101,1187,703,59.2,69,40
268,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,1070,23,61,439,633,175,1040,33,45,73.3,36,1,914,4806,2488,1186,872,73.5,36,28
269,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,1692,20,212,970,649,42,1594,57,74,77,59,1,1326,8665,4067,1376,1236,89.8,42,41
270,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,145,2,7,49,99,24,141,3,4,75,4,0,101,700,217,198,99,50,13,11
271,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,1311,20,133,492,780,99,1217,37,60,61.7,42,4,961,6005,3162,1240,916,73.9,53,50
272,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,1307,46,319,635,434,49,1223,12,18,66.7,13,0,885,4245,2319,948,870,91.8,14,8
273,Álex Berenguer\Alex-Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,660,15,100,277,340,46,610,35,58,60.3,36,2,486,4014,2340,550,448,81.5,38,41
274,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,1853,94,537,1001,434,8,1575,24,37,64.9,24,0,1115,5790,2976,1111,1052,94.7,14,19
275,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,eng Premier League,26,1990,31.5,1364,39,220,510,747,65,1206,28,51,54.9,31,0,859,6822,3369,956,775,81.1,48,51
276,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.2,516,25,119,309,107,26,504,3,5,60,3,0,260,1172,491,285,232,81.4,12,10
277,Emil Berggreen\Emil-Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,253,10,18,118,126,36,249,2,2,100,2,0,128,526,159,342,195,57,30,13
278,Robert Berić\Robert-Beric,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,282,5,19,134,141,40,260,2,4,50,3,0,172,1012,491,390,185,47.4,19,11
279,Kévin Bérigaud\Kevin-Berigaud,fr FRA,MFFW,Montpellier,fr Ligue 1,29,1988,3,98,1,5,53,49,9,97,1,5,20,1,0,57,414,225,127,80,63,8,2
280,Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31,871,773,865,6,0,0,591,0,0,,0,0,400,1904,1025,288,288,100,1,0
281,Federico Bernardeschi\Federico-Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,532,19,81,229,265,36,526,23,33,69.7,26,0,438,3104,1343,467,397,85,18,26
282,Bernardo\Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15,1114,68,323,641,215,14,948,13,21,61.9,13,0,602,3485,1889,621,572,92.1,14,19
283,Juan Bernat\Juan-Bernat,es ESP,DFFW,Bayern Munich,de Bundesliga,24,1993,9.9,661,12,118,328,262,37,617,17,31,54.8,17,0,529,2975,1576,557,490,88,21,20
284,Andrea Bertolacci\Andrea-Bertolacci,it ITA,MF,Genoa,it Serie A,26,1991,32.2,1987,59,426,1215,465,44,1921,14,21,66.7,16,1,1372,6166,3392,1411,1302,92.3,33,39
285,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,27,1989,34.8,2225,96,548,915,904,54,1873,19,42,45.2,21,1,1353,7788,4208,1498,1351,90.2,27,28
