Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,5,1,0,0,7,0
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,1,139,0,0,0,0,0,0
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,0,0,0,0,0,0
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,1,0,0,0,3,0
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,500,0,0,0,0,3,0
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,76,0,0,0,0,0,0
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,0,1,0,0,2,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,0,2,0,0,3,0
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,31,15,1726,5,1,0,0,0,0
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,0,0,0,0,2,0
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,0,0,0,0,4,0
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,1,0,0,0,4,2
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,0,0,0,1,2,1
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,0,0,0,0,4,0
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,31,20,1840,2,0,1,2,10,0
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,0,1,0,0,9,0
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,14,1220,0,0,0,0,5,1
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,0,0,0,0,0,0
