Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,2,1,0,8,8,0,30,8,5,0,0,0,61,5,1,83.3
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,4,0,0,0,4,0,0,0,0,0,0,0,127,0,0,
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,10,0,0,38,15,6,135,26,6,0,0,1,187,19,11,63.3
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,9,0,0,51,40,1,0,73,27,0,1,0,394,23,22,51.1
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,5,1,0,22,19,2,30,25,19,0,0,0,134,15,11,57.7
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,0,0,0,1,3,0,0,0,0,0,1,0,79,0,1,0
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,4,0,0,20,22,1,86,42,23,0,0,1,174,49,32,60.5
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,2,0,0,0,3,0,0,1,0,0,0,0,115,0,0,
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,5,0,0,40,40,35,20,3,8,0,0,0,72,63,45,58.3
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,2,0,0,0,15,0,0,
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,0,0,0,9,13,4,2,1,3,1,0,0,24,17,24,41.5
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,4,0,0,20,18,0,51,39,19,0,0,0,244,7,7,50
25,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,1,4,1,1,0,0,1,0,0,10,6,2,75
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,2,0,0,10,17,16,16,8,5,0,0,0,90,6,15,28.6
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,2,0,0,28,49,3,95,38,27,0,0,0,211,9,14,39.1
28,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,3,0,0,16,22,1,20,24,15,0,0,0,108,5,10,33.3
29,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,4,0,0,43,49,1,6,82,42,0,0,0,405,20,14,58.8
30,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,0,0,0,1,3,0,2,0,2,0,0,0,7,2,3,40
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.8,4,0,0,24,26,0,12,30,28,0,0,0,298,6,13,31.6
32,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,7,0,0,19,6,0,2,32,24,0,1,0,147,23,24,48.9
33,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10,2,0,0,10,5,0,1,13,12,0,0,0,105,17,17,50
34,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,5,0,0,27,19,2,6,52,27,0,0,0,465,61,54,53
35,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.5,1,0,0,1,0,0,7,1,1,0,0,0,4,0,1,0
36,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,2,0,0,13,13,9,14,7,10,0,0,0,67,9,21,30
37,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,22,1995,18.8,1,0,0,22,19,1,7,29,29,0,0,1,172,31,28,52.5
38,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1,0,0,9,6,2,92,17,15,0,0,0,170,15,15,50
39,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,4,1,0,40,42,14,3,6,10,1,0,0,67,48,79,37.8
40,David Alba\David-Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0,0,3,0,0,0,1,1,0,0,0,7,0,2,0
41,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,7,0,0,28,22,16,48,67,30,0,0,0,278,8,10,44.4
42,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,5,0,0,15,15,1,3,28,12,0,1,0,226,22,11,66.7
43,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,5,0,0,20,36,3,220,18,28,1,0,0,205,10,29,25.6
44,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,7,0,0,30,19,2,4,36,25,0,0,0,455,73,51,58.9
45,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,1,0,0,10,14,0,23,6,13,0,0,0,73,14,18,43.8
46,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,5,1,0,20,25,1,214,35,30,0,1,0,243,6,11,35.3
47,Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.8,0,0,0,1,9,7,7,10,3,0,0,0,45,3,11,21.4
48,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,28,1989,7.6,4,0,0,11,3,2,4,15,5,0,0,0,101,6,9,40
49,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,3,0,0,24,15,1,15,28,26,1,0,0,139,17,19,47.2
50,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,0,0,0,2,2,1,5,9,1,0,0,0,25,1,1,50
51,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,3,0,0,8,2,0,7,4,8,0,0,0,144,6,9,40
52,Steve Aldo One\Steve-Aldo-One,es ESP,DF,La Coruña,es La Liga,22,1995,1,0,0,,1,,,,,0,0,0,,5,1,0,100
53,Álex Alegría\Alex-Alegria,es ESP,FW,Levante,es La Liga,24,1992,6.9,1,0,0,9,18,5,2,4,2,0,0,0,14,16,17,48.5
54,Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,12.5,5,0,0,25,45,3,110,6,13,0,0,0,94,4,11,26.7
55,Alexander\Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.7,1,0,0,18,18,8,40,22,12,1,0,0,63,1,4,20
56,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,3,0,0,12,1,3,100,30,18,0,0,0,194,4,10,28.6
57,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,6,0,0,20,15,2,5,33,17,0,0,1,215,16,7,69.6
58,Alisson\Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,1,0,0,0,3,0,0,2,0,0,0,0,230,0,0,
59,Allan\Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,2,0,0,38,48,0,30,31,80,0,0,0,296,9,32,22
60,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,27,1990,34.9,8,0,0,49,49,0,37,62,62,0,0,0,437,16,35,31.4
61,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,7,0,0,45,85,5,18,27,29,1,0,0,248,20,34,37
62,José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,3,0,0,29,10,0,7,58,26,0,0,1,420,49,17,74.2
64,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,6,0,0,26,31,8,98,51,27,0,0,0,282,46,39,54.1
65,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3,0,0,0,4,5,0,21,3,3,0,0,0,26,4,11,26.7
66,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,0,5,0,0,1,0,0,0,0,67,0,0,
67,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,2,0,0,12,11,0,1,10,4,0,0,0,95,10,7,58.8
68,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,7,1,0,40,35,4,103,25,52,0,0,0,231,9,8,52.9
69,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,3,0,0,23,19,0,4,44,30,0,1,0,263,16,13,55.2
70,Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
71,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,2,3,1,8,14,0,19,4,1,0,0,0,57,0,3,0
72,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30,5,0,0,35,52,0,20,85,34,0,0,0,308,6,12,33.3
73,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,1,2,1,4,7,0,0,4,0,0,0,0,66,3,3,50
74,Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,7,3,1,34,11,0,1,40,16,0,1,1,238,15,24,38.5
75,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.5,9,0,0,70,62,10,21,33,43,0,0,0,226,13,26,33.3
76,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,7,0,0,33,22,1,61,47,22,0,1,0,288,19,9,67.9
77,Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0,0,0,0,1,0,1,1,0,0,0,4,1,2,33.3
78,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35,3,1,0,30,17,0,46,47,24,0,0,0,298,14,18,43.8
79,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,4,0,0,42,38,3,46,20,16,0,0,0,194,9,13,40.9
80,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
81,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,0,0,0,6,2,2,9,0,4,0,0,0,16,0,3,0
82,Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18,6,2,1,51,36,25,61,6,8,0,1,0,85,7,11,38.9
83,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,0,0,0,3,4,0,0,10,4,0,0,0,72,15,4,78.9
85,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,0,0,0,7,15,0,74,12,19,0,0,0,110,3,8,27.3
86,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,6,0,0,54,21,18,16,3,9,0,0,0,63,14,47,23
87,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,2,1,0,0,12,0,0,3,0,0,1,0,194,0,0,
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,11,2,1,67,51,1,21,52,50,0,0,0,448,80,87,47.9
89,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,5,0,0,25,9,0,4,31,19,0,0,0,176,49,29,62.8
90,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,4,0,0,18,15,0,60,38,25,0,0,0,236,9,16,36
91,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.1,3,0,0,35,23,14,1,9,3,0,0,0,70,22,26,45.8
92,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,0,1,0,1,2,0,0,1,0,43,0,0,
93,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,100
94,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,27,1989,26.9,4,0,0,18,18,1,227,40,31,0,0,0,358,22,15,59.5
95,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,3,0,0,17,4,0,2,22,13,0,3,0,116,32,10,76.2
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,6,2,1,24,35,0,77,24,33,1,1,0,175,7,17,29.2
97,Luca Antei\Luca-Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,1,1,0,9,7,0,1,33,13,0,0,0,55,9,7,56.3
98,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,1,0,0,36,71,33,37,13,12,1,0,0,123,21,46,31.3
99,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,1,0,0,20,30,0,8,48,35,0,1,0,347,64,38,62.7
100,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,1,0,0,2,4,1,0,1,3,0,0,0,18,1,1,50
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,27,1990,15,1,0,0,17,30,7,55,13,11,1,0,0,93,31,35,47
102,Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,0,0,0,0,1,0,5,1,1,0,0,0,2,0,0,
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,14,0,0,49,36,1,148,57,21,0,0,0,306,13,11,54.2
104,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,5,0,0,33,12,0,103,33,15,0,1,0,203,10,13,43.5
105,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27,1,0,0,21,47,6,14,39,31,0,0,0,229,12,16,42.9
106,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,4,0,0,21,14,1,7,24,19,0,0,0,119,4,5,44.4
107,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,9,2,1,51,43,0,6,28,34,0,0,0,290,11,21,34.4
108,Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,2,2,0,3,6,0,0,0,1,26,0,1,0
109,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,4,0,0,42,52,1,23,53,51,0,1,0,340,23,27,46
110,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,5,0,0,28,26,6,68,15,17,0,0,0,140,1,5,16.7
111,Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
112,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,8,0,0,25,12,0,12,74,15,0,2,1,465,26,24,52
113,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,0,0,0,0,2,0,0,0,0,0,0,0,135,0,0,
114,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,eng Premier League,28,1988,14.8,3,0,0,21,14,2,8,15,20,0,0,0,130,5,19,20.8
115,Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,1,0,0,9,3,8,1,1,1,0,0,0,9,8,17,32
116,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,0,0,0,1,2,0,9,2,2,0,0,0,16,2,0,100
117,José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
118,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,5,1,0,35,29,43,60,16,13,0,0,0,147,7,22,24.1
119,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,9,1,0,51,79,3,114,43,41,0,1,0,275,21,30,41.2
120,Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,1,0,0,22,18,3,3,2,5,0,0,0,31,10,52,16.1
121,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3,0,0,0,5,2,0,0,6,3,0,1,1,31,1,0,100
122,Sergio Arribas\Sergio-Arribas,es ESP,FW,Leganés,es La Liga,22,1995,0.3,0,0,,0,,,,,,,,,,,,
123,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,4,0,0,0,7,0,0,2,0,0,1,0,131,0,0,
124,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,4,0,0,9,15,0,5,10,14,0,0,0,102,1,1,50
125,Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.1,0,0,0,0,1,0,0,2,2,0,0,0,13,5,0,100
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,4,0,0,11,30,1,31,18,17,0,0,0,139,13,10,56.5
127,Takuma Asano\Takuma-Asano,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8,1,0,0,11,8,13,11,5,5,0,0,0,35,5,24,17.2
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,11,1,1,34,59,0,7,61,49,1,0,0,410,29,37,43.9
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,3,0,0,3,3,0,1,2,0,0,1,0,119,0,0,
130,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,2,0,0,7,27,3,106,10,16,0,0,0,98,0,0,
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,9,0,0,21,62,12,61,23,19,1,0,0,175,8,21,27.6
132,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,2,3,1,10,9,1,21,44,10,0,0,0,124,0,4,0
133,Simon Asta\Simon-Asta,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
134,Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,it Serie A,30,1987,25,5,0,0,22,22,1,17,49,32,0,1,0,320,53,28,65.4
135,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,25,1992,19.8,1,0,0,10,26,6,57,11,6,0,0,0,150,6,45,11.8
136,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,0,0,0,1,8,10,16,5,4,0,0,0,52,4,13,23.5
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,1,1,1,17,8,15,23,3,2,1,0,0,49,11,16,40.7
138,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,1,0,0,21,42,13,11,7,8,2,0,0,65,15,40,27.3
139,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,23,1994,28.1,3,0,0,29,14,4,115,52,25,0,0,0,235,36,33,52.2
140,Yann Aurel Bisseck\Yann-Aurel-Bisseck,de GER,DFFW,Köln,de Bundesliga,16,2000,1.7,0,0,0,1,1,0,1,3,2,0,0,0,13,4,1,80
141,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,2,2,1,21,16,2,69,32,31,0,1,0,196,36,21,63.2
142,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,2,0,0,16,16,14,3,2,3,0,0,0,45,24,42,36.4
143,Danilo Avelar\Danilo-Avelar,br BRA,DFFW,Amiens,fr Ligue 1,28,1989,19.2,2,0,0,23,19,1,65,37,23,1,0,0,189,24,14,63.2
144,Felipe Avenatti\Felipe-Avenatti,uy URU,FWMF,Bologna,it Serie A,24,1993,5.2,1,0,0,6,4,0,6,2,1,0,0,0,20,23,24,48.9
145,Durel Avounou\Durel-Avounou,cg CGO,MFDF,Caen,fr Ligue 1,19,1997,7.2,1,0,0,9,5,2,22,13,5,0,0,0,79,1,4,20
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,2,1,0,19,11,0,2,25,22,0,0,0,193,14,9,60.9
147,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,eng Premier League,27,1989,10.6,3,0,0,17,19,3,8,6,7,1,0,0,46,15,28,34.9
148,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,eng Premier League,27,1989,9.9,2,0,0,7,17,3,8,5,13,0,0,0,58,20,29,40.8
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,2,1,0,63,88,8,45,26,52,0,0,0,188,33,74,30.8
150,Karim Azamoum\Karim-Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.3,5,1,0,55,17,0,64,30,46,0,1,0,269,37,26,58.7
151,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37,1,0,0,25,13,1,81,54,43,0,0,1,517,40,32,55.6
152,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,0,0,0,11,15,1,24,17,22,0,0,0,150,11,4,73.3
153,Khouma Babacar\Khouma-Babacar,sn SEN,FWMF,Fiorentina,it Serie A,24,1993,5,1,0,0,8,12,8,5,2,1,1,0,0,26,4,8,33.3
154,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,0,0,0,14,16,5,2,6,10,0,0,0,40,8,28,22.2
155,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,30,1986,27.5,9,0,0,24,22,41,11,8,5,0,0,0,74,11,27,28.9
156,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,9,2,1,47,26,0,16,71,51,0,0,0,348,27,40,40.3
157,Holger Badstuber\Holger-Badstuber,de GER,DFMF,Stuttgart,de Bundesliga,28,1989,24.1,2,0,0,22,18,0,3,55,24,0,0,0,316,48,27,64
158,Dylan Bahamboula\Dylan-Bahamboula,cg CGO,FWMF,Dijon,fr Ligue 1,22,1995,0.3,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,100
159,Farès Bahlouli\Fares-Bahlouli,fr FRA,MFFW,Lille,fr Ligue 1,22,1995,3.4,2,0,0,8,9,3,35,2,5,0,0,0,28,0,1,0
160,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Strasbourg,fr Ligue 1,25,1992,18.5,5,0,0,39,21,20,41,8,9,0,1,0,70,13,19,40.6
161,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,33,1984,28.2,6,0,0,45,58,0,28,72,46,0,0,0,518,28,38,42.4
