Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,7,0,0,18,10,3,57,54,30,0,0,0,225,2,6,25
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,0,0,0,1,3,1,2,1,4,0,0,0,12,2,2,50
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,0,0,8,11,0,11,1,9,0,0,0,22,7,15,31.8
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,3,0,0,11,8,3,32,9,15,0,0,0,106,5,4,55.6
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,3,0,0,7,6,0,0,3,6,0,0,0,57,3,0,100
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,0,0,0,1,0,0,2,3,1,0,0,0,8,0,2,0
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,2,0,0,27,17,2,7,17,14,0,0,0,142,3,5,37.5
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,3,0,0,11,20,0,8,55,28,0,0,1,377,61,27,69.3
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,0,0,0,15,27,9,13,1,5,0,0,0,61,30,30,50
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,2,0,0,20,27,0,5,22,26,0,0,0,137,21,19,52.5
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,4,0,0,29,31,0,11,91,34,0,1,1,520,103,32,76.3
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,4,2,1,13,14,0,12,19,7,0,0,0,105,12,13,48
