Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,187,0,16,109,85,8,181,11,16,68.8,13,1,154,1061,538,170,149,87.6,13,6
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,138,8,37,54,53,4,114,4,5,80,4,0,88,409,264,87,79,90.8,0,0
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,326,3,19,161,158,44,314,7,12,58.3,7,1,183,820,301,477,262,54.9,28,7
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1470,82,453,704,415,31,1257,41,66,62.1,45,1,987,5543,3145,1007,867,86.1,32,32
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,1208,88,392,634,253,8,997,28,39,71.8,29,1,642,3695,2395,635,570,89.8,18,14
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,735,74,346,396,39,10,698,5,6,83.3,5,0,469,2433,1285,470,453,96.4,2,4
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,1142,5,28,426,779,241,1090,29,55,52.7,32,5,903,5906,3194,1389,892,64.2,66,65
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1973,68,449,989,670,36,1695,58,79,73.4,59,2,1309,7342,4529,1366,1194,87.4,38,38
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,212,4,28,154,42,4,208,1,2,50,2,0,156,762,415,167,150,89.8,2,2
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,56,4,13,30,14,3,56,0,4,0,0,0,25,98,37,45,34,75.6,3,1
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,659,10,120,457,142,21,650,7,13,53.8,7,0,481,2935,1732,492,454,92.3,16,13
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,43,1,5,16,23,1,35,0,1,0,0,0,22,110,57,20,17,85,0,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24,1483,66,407,692,477,44,1244,37,68,54.4,39,1,847,5968,3697,880,766,87,26,30
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,751,12,167,535,94,1,739,14,16,87.5,14,0,583,2472,1185,598,566,94.6,7,10
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,831,36,255,569,74,1,809,22,27,81.5,23,0,637,3429,1995,587,565,96.3,3,6
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,39,2,6,22,13,2,37,0,1,0,0,0,27,130,101,29,27,93.1,0,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17,651,11,38,367,277,82,623,14,24,58.3,15,0,393,1721,766,838,506,60.4,50,20
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,2035,161,837,1286,84,19,1995,8,11,72.7,8,0,1558,10146,5574,1591,1579,99.2,8,7
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,574,43,193,290,139,15,485,13,18,72.2,13,0,319,2425,1505,298,268,89.9,9,8
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,2147,358,1344,779,142,44,2070,3,6,50,3,0,1262,6673,3410,1342,1283,95.6,16,5
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,112,6,35,60,26,0,102,3,4,75,3,0,79,573,351,78,69,88.5,2,2
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,249,0,26,130,109,20,248,8,13,61.5,10,0,191,920,498,251,171,68.1,15,14
39,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,de Bundesliga,23,1995,3.5,210,17,94,130,9,0,203,2,2,100,2,0,142,960,560,136,133,97.8,0,4
40,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,23,1995,5.5,343,41,142,195,14,0,329,1,1,100,1,0,199,1063,534,199,195,98,0,5
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2381,50,484,1232,811,74,2079,26,35,74.3,26,1,1722,8241,4132,1797,1667,92.8,28,18
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1379,65,428,624,412,20,1141,26,38,68.4,28,0,753,3918,2575,777,715,92,20,19
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,572,13,67,257,272,87,555,4,16,25,7,1,379,1646,675,700,451,64.4,39,28
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2990,97,712,1348,1057,104,2675,20,29,69,20,1,2102,8068,4685,2307,2108,91.4,28,18
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,1757,12,170,851,901,67,1527,24,54,44.4,32,3,1287,8185,5309,1459,1235,84.6,35,46
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19,1287,157,594,725,31,7,1255,1,2,50,1,0,885,4255,2292,899,885,98.4,4,2
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1165,56,357,570,317,15,964,9,22,40.9,10,1,700,3597,1954,720,647,89.9,20,19
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,991,42,198,429,428,27,963,22,45,48.9,24,3,765,4444,1955,835,676,81,27,36
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,403,6,17,162,233,78,370,7,11,63.6,9,0,252,869,407,479,295,61.6,31,13
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,1125,191,702,443,39,20,1080,4,6,66.7,5,0,618,3321,1746,636,612,96.2,6,4
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2823,55,555,1896,567,32,2690,52,61,85.2,54,0,2197,10616,5476,2171,2100,96.7,13,24
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,2164,91,579,1399,334,21,2069,24,41,58.5,27,1,1520,8129,3821,1408,1330,94.5,30,33
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2632,297,1387,1309,115,20,2554,2,4,50,2,0,1830,9346,4915,1925,1899,98.6,3,3
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,251,92,80,45,56.3,6,2
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,3,0,0,1,2,0,3,0,0,,0,0,2,7,5,5,3,60,1,1
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,615,322,64,48,75,6,8
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,3011,1584,626,580,92.7,13,9
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,897,727,894,4,0,0,624,3,3,100,3,0,458,1692,905,374,374,100,2,0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,4,4,100,0,0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2492,84,585,1171,862,44,2056,20,39,51.3,23,3,1608,6356,3731,1647,1543,93.7,28,16
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,525,7,30,225,301,57,502,11,17,64.7,12,0,332,1734,850,607,374,61.6,24,9
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,1341,1133,1335,8,0,0,1049,1,1,100,1,0,777,2859,1587,671,671,100,2,1
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,514,439,513,1,0,0,345,0,0,,0,0,230,1172,748,146,146,100,0,0
64,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2583,80,551,1680,519,34,2489,56,78,71.8,58,2,2066,10334,5832,1998,1886,94.4,30,38
65,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2,85,1,15,50,32,1,83,1,2,50,1,0,49,287,116,49,45,91.8,0,1
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,1313,31,168,667,567,104,1282,28,57,49.1,33,6,1001,5342,2817,1214,965,79.5,41,33
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,384,9,60,168,199,30,380,7,16,43.8,10,4,294,2515,1610,391,242,61.9,21,14
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6,375,22,108,215,63,8,344,2,6,33.3,2,0,226,784,412,251,230,91.6,4,2
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2614,119,720,1157,903,88,2336,22,36,61.1,25,0,1798,9200,5471,1866,1706,91.4,28,42
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,379,25,109,170,120,8,319,3,3,100,3,0,212,1326,851,207,193,93.2,6,5
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,480,435,480,0,0,0,333,0,0,,0,0,246,1135,713,193,193,100,0,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,621,48,184,410,54,8,613,3,3,100,3,0,370,1769,660,353,337,95.5,2,8
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29,1623,177,803,883,56,19,1566,4,6,66.7,5,0,930,5708,3319,925,910,98.4,7,12
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1549,323,960,609,76,30,1471,5,5,100,5,0,793,5046,2672,824,806,97.8,4,3
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18,1775,28,272,1078,547,41,1693,24,36,66.7,25,0,1383,5602,3192,1513,1407,93,13,28
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,6,2,2,3,2,1,6,0,0,,0,0,1,6,4,2,2,100,0,0
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,450,31,157,265,54,6,444,7,10,70,8,0,283,1308,626,306,279,91.2,4,3
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28,1395,55,307,914,260,17,1378,28,49,57.1,33,1,1009,6168,3030,1029,911,88.5,39,38
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,497,42,188,275,62,3,444,1,3,33.3,2,0,306,1156,577,289,274,94.8,2,4
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,6286,3626,959,927,96.7,9,9
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,2305,1466,393,237,60.3,32,27
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1640,84,489,830,437,26,1405,27,45,60,28,3,933,5976,3659,914,841,92,28,35
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,1527,122,554,782,307,17,1297,26,40,65,29,1,835,5276,3215,822,734,89.3,16,19
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,488,8,70,284,181,30,477,18,26,69.2,19,2,383,2507,1423,399,352,88.2,6,14
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0,4,0,1,3,0,0,4,0,0,,0,0,1,0,0,1,1,100,1,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,2307,345,1135,1281,69,18,2222,14,15,93.3,14,0,1529,8727,5431,1598,1576,98.6,3,8
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,2299,33,332,1185,1039,127,2177,84,153,54.9,89,13,1822,14372,9118,1922,1650,85.8,71,71
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,343,14,52,146,175,47,336,13,32,40.6,16,3,221,1691,971,544,241,44.3,42,32
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1855,65,370,1156,444,51,1823,27,42,64.3,31,0,1240,6403,3107,1377,1205,87.5,35,39
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,82,13,45,40,1,1,82,0,0,,0,0,52,184,98,62,60,96.8,0,0
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,315,45,192,127,6,4,308,1,1,100,1,0,164,701,263,193,186,96.4,2,1
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0,3,0,0,2,1,0,2,0,0,,0,0,1,2,0,1,1,100,0,1
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,393,336,389,5,0,0,291,1,1,100,1,0,212,839,521,188,187,99.5,1,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,8793,4512,1289,1235,95.8,20,17
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,1141,44,259,506,510,45,951,59,95,62.1,61,2,785,6957,4177,778,665,85.5,25,34
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,821,6,58,392,432,104,779,29,51,56.9,29,0,641,3955,1592,968,622,64.3,66,47
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,2105,264,1209,987,92,31,2032,21,27,77.8,22,0,1337,9330,5060,1265,1241,98.1,13,19
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,494,39,162,240,131,23,445,5,8,62.5,5,0,296,1814,1261,307,285,92.8,12,4
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,49,3,16,32,7,0,47,0,2,0,0,0,35,205,120,29,28,96.6,0,3
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,1225,39,175,564,594,116,1168,57,92,62,63,1,853,7047,4366,1284,849,66.1,84,89
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69,30,2,714,4378,2665,785,672,85.6,28,27
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,4186,2209,729,629,86.3,20,18
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12,535,35,168,324,83,15,525,3,5,60,4,0,311,2186,1216,399,294,73.7,10,12
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,645,22,152,406,123,9,587,4,6,66.7,4,1,416,1787,788,428,406,94.9,4,6
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34,2472,37,354,1629,682,122,2447,67,103,65,72,1,2048,11707,6001,2207,1977,89.6,62,50
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,9,0,0,4,7,1,9,0,1,0,0,0,9,20,3,14,8,57.1,0,1
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,3503,1541,609,505,82.9,29,22
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1253,767,226,208,92,3,1
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21,1884,50,325,1257,402,41,1840,21,30,70,21,0,1384,5444,2708,1516,1403,92.5,30,24
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,440,3,56,203,220,19,412,26,40,65,31,1,350,2582,1559,384,320,83.3,20,20
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75,4,0,1117,4866,2408,1180,1161,98.4,1,5
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6190,2975,746,723,96.9,10,4
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,6,0,0,4,3,0,6,0,0,,0,0,4,31,21,11,4,36.4,0,2
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,546,488,544,3,0,0,389,0,0,,0,0,260,1183,635,229,229,100,0,0
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3782,2129,742,657,88.5,10,9
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,811,176,516,342,22,14,777,3,3,100,3,0,450,3227,1798,465,453,97.4,3,1
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,26,2,12,17,3,0,24,0,0,,0,0,20,187,145,19,19,100,0,0
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,1116,50,359,601,236,11,932,19,40,47.5,23,1,661,3877,2281,715,622,87,21,10
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,857,19,104,387,433,53,825,18,28,64.3,18,1,624,3870,1970,782,609,77.9,36,31
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,52,1,10,22,26,6,51,4,8,50,6,0,44,367,191,45,36,80,4,3
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,867,10,51,330,541,139,825,28,38,73.7,29,1,661,3625,1498,1128,691,61.3,47,40
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,1775,77,403,1017,470,28,1584,22,29,75.9,23,0,1155,6049,3263,1192,1050,88.1,19,28
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,1208,1071,1201,7,0,0,925,1,1,100,1,0,691,2352,1126,623,623,100,0,2
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,857,31,157,516,231,21,798,7,9,77.8,7,0,469,1986,924,520,424,81.5,16,7
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,2480,79,631,1379,669,33,2269,53,73,72.6,54,1,1898,9847,6263,1855,1774,95.6,23,20
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,286,3,39,130,143,20,284,9,20,45,9,0,227,1781,933,334,212,63.5,29,19
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27,1433,68,363,871,266,22,1404,10,17,58.8,11,0,849,4135,2107,856,777,90.8,22,17
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,929,841,923,6,0,0,600,0,0,,0,0,336,2005,1089,246,246,100,0,0
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,1233,7,104,578,675,106,1182,36,56,64.3,38,4,1076,8100,4515,1214,994,81.9,34,27
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25,1142,5,86,569,570,123,1086,35,53,66,37,1,888,5444,2971,1280,900,70.3,41,38
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1,51,3,15,25,14,0,46,2,3,66.7,2,0,24,121,72,29,25,86.2,1,0
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,659,17,110,305,318,43,650,31,59,52.5,33,2,523,3898,2132,691,448,64.8,32,32
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,1765,67,389,858,692,90,1575,110,200,55,119,10,1325,10787,7706,1317,1138,86.4,89,50
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,1074,18,94,446,600,157,1031,29,56,51.8,32,0,808,5107,2963,1450,831,57.3,67,37
136,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,1248,1152,1244,6,1,1,867,0,0,,0,0,602,2122,938,490,488,99.6,1,0
137,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,182,0,5,77,114,38,182,11,23,47.8,11,3,153,1041,550,221,141,63.8,26,14
138,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,2303,88,642,1032,758,73,1955,9,18,50,11,0,1396,7065,4270,1566,1410,90,36,24
139,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,432,21,120,185,146,8,378,8,15,53.3,10,0,264,1122,582,267,238,89.1,8,11
