Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,157,8,56,68,39,0,128,2,3,66.7,2,0,85,500,303,76,70,92.1,2,2
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,2298,138,678,1071,682,78,1950,27,43,62.8,28,1,1471,7810,4396,1467,1351,92.1,27,19
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,1056,74,351,587,165,9,946,5,9,55.6,8,2,700,2778,1506,709,687,96.9,6,3
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,5,0,1,2,4,0,5,1,1,100,1,0,6,96,72,2,2,100,1,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,2023,310,1347,754,46,26,1972,22,24,91.7,22,0,1227,7009,3508,1210,1179,97.4,10,5
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1356,34,302,883,267,27,1327,38,61,62.3,40,2,1016,6188,3046,1007,897,89.1,33,36
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,29,1,7,11,14,3,29,2,3,66.7,2,0,20,139,99,23,15,65.2,1,2
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,828,90,374,459,57,8,806,4,5,80,4,0,475,3199,1722,452,442,97.8,3,2
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,463,20,105,314,67,4,455,6,7,85.7,6,0,339,1723,686,291,277,95.2,1,11
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,2162,279,1117,1108,127,27,2104,9,11,81.8,9,0,1360,9766,5119,1344,1307,97.2,7,14
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,921,26,151,508,360,33,911,37,48,77.1,39,1,786,5663,3296,807,699,86.6,26,28
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,617,17,116,421,127,7,605,11,14,78.6,11,1,411,2488,1474,438,404,92.2,13,9
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,28,27,28,0,0,0,17,0,0,,0,0,11,85,51,9,9,100,0,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,386,19,94,196,138,7,321,11,15,73.3,11,0,258,2060,1176,267,236,88.4,4,5
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,1192,125,667,579,24,15,1164,2,2,100,2,0,722,4152,2393,708,695,98.2,2,9
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3,146,5,38,59,61,9,124,8,13,61.5,8,0,109,634,399,104,85,81.7,13,7
