Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,129,9,32,85,26,1,128,0,1,0,0,0,95,577,229,116,90,77.6,4,3
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,409,15,87,277,70,12,405,10,13,76.9,12,0,277,1320,632,306,269,87.9,13,10
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1518,213,835,711,50,11,1475,11,15,73.3,12,0,962,5141,2229,954,934,97.9,5,8
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1476,76,431,728,432,34,1243,56,94,59.6,59,1,922,5548,3399,937,855,91.2,20,27
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,473,12,81,365,47,1,466,6,12,50,7,0,340,1257,628,369,349,94.6,7,6
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,996,40,310,491,269,16,846,19,41,46.3,22,2,617,3093,1915,609,565,92.8,20,20
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,42,8,64,24,37.5,5,3
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,755,22,52,415,315,110,731,14,27,51.9,15,1,404,1469,643,977,580,59.4,73,23
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2161,235,1146,1087,82,15,2093,8,12,66.7,9,1,1589,8958,4601,1683,1657,98.5,10,6
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,43,1,8,20,17,2,41,3,4,75,3,0,35,183,85,46,28,60.9,2,2
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1508,277,923,595,86,34,1455,5,5,100,5,0,845,5157,2869,948,900,94.9,7,5
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,281,5,50,146,105,15,278,11,19,57.9,12,0,224,881,525,256,196,76.6,6,14
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,908,147,527,407,31,1,882,3,4,75,3,0,622,2985,1655,637,619,97.2,3,11
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2662,194,1068,1590,248,14,2555,6,10,60,7,0,2026,13822,7575,2099,2068,98.5,9,4
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,992,43,309,470,282,25,802,20,34,58.8,20,2,540,2781,1782,558,509,91.2,14,12
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,466,6,26,221,246,89,436,16,21,76.2,17,1,284,1046,297,655,349,53.3,36,21
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2322,76,475,1119,831,65,2125,10,19,52.6,12,2,1617,6153,3153,1907,1762,92.4,10,7
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2663,21,334,1465,1196,109,2387,72,105,68.6,76,4,2076,14298,9583,2150,1943,90.4,49,62
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,2261,403,1368,969,51,21,2209,3,3,100,3,0,1325,7803,4454,1509,1492,98.9,1,1
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,622,13,111,258,292,23,587,10,29,34.5,13,2,420,2134,979,494,428,86.6,9,12
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,316,9,28,149,148,46,291,4,8,50,4,1,171,658,346,389,221,56.8,17,7
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,167,2,8,73,89,31,150,4,7,57.1,5,1,85,181,81,231,116,50.2,13,8
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,2018,49,398,1386,350,26,1962,59,70,84.3,61,0,1536,6381,2959,1576,1515,96.1,13,20
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1330,77,349,890,170,15,1236,21,29,72.4,21,1,828,4312,2163,811,743,91.6,14,14
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2265,355,1227,1037,114,22,2185,0,2,0,0,0,1362,6491,3048,1535,1500,97.7,3,2
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1436,84,442,758,319,20,1209,19,32,59.4,22,2,778,3498,1815,830,763,91.9,15,24
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,49,0,2,27,22,4,49,1,2,50,1,0,21,58,4,68,40,58.8,5,2
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,170,1,18,109,56,2,165,2,3,66.7,2,0,131,582,245,157,146,93,4,0
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,471,5,64,312,134,11,467,15,23,65.2,15,0,397,1975,966,436,380,87.2,5,10
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,351,310,351,0,0,0,246,1,1,100,1,0,162,544,276,146,145,99.3,0,1
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3520,106,850,1641,1244,63,2865,26,56,46.4,30,4,2108,8488,5128,2363,2230,94.4,36,22
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,85,69,85,0,0,0,48,0,0,,0,0,29,133,77,24,23,95.8,0,0
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,656,14,38,312,335,79,610,23,30,76.7,25,1,419,1767,889,851,496,58.3,42,26
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,994,23,197,615,250,17,966,18,29,62.1,20,3,741,3480,1590,781,728,93.2,14,18
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,3724,1982,1102,773,70.1,45,56
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,1309,44,315,554,601,91,1297,46,93,49.5,54,5,975,7114,3876,1281,894,69.8,60,54
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1313,30,326,564,510,72,1146,12,19,63.2,12,0,841,4519,2597,928,829,89.3,20,22
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,945,65,335,474,201,11,779,18,30,60,22,3,503,2730,1623,539,485,90,16,15
68,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,569,29,142,381,73,7,560,6,9,66.7,6,0,296,1385,461,297,278,93.6,4,1
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,55,51,55,0,0,0,33,0,0,,0,0,23,62,39,23,23,100,0,0
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1817,198,904,969,69,20,1754,11,13,84.6,11,1,992,6111,3338,1037,1021,98.5,3,10
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1608,318,941,681,85,36,1510,2,3,66.7,2,0,875,5564,3048,1006,981,97.5,5,2
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,838,31,216,406,272,44,787,33,50,66,35,4,618,3218,1757,638,557,87.3,20,28
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,470,108,329,142,14,4,464,2,3,66.7,2,0,253,991,474,297,289,97.3,1,1
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,343,7,71,225,67,6,341,3,4,75,3,0,207,958,447,250,217,86.8,5,5
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1092,36,290,732,168,8,1071,28,43,65.1,31,0,779,4489,2309,773,727,94,16,15
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,36,0,2,17,20,4,34,4,8,50,4,0,28,128,68,32,20,62.5,3,5
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,1590,78,552,769,379,32,1379,28,56,50,32,0,876,4588,2662,945,865,91.5,27,24
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,312,4,30,138,174,34,310,24,45,53.3,27,1,256,1602,1067,304,229,75.3,20,25
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,837,84,313,417,189,12,697,8,18,44.4,9,1,475,3433,2087,480,434,90.4,14,14
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,1374,15,187,769,526,57,1221,32,54,59.3,35,2,970,5208,2780,1130,933,82.6,29,32
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,93,14,42,52,3,1,92,0,0,,0,0,69,369,237,69,69,100,0,0
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,205,4,30,80,117,26,200,18,41,43.9,21,0,179,749,518,234,142,60.7,23,14
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,2089,60,414,1445,468,25,2019,84,110,76.4,89,3,1623,12154,5830,1572,1454,92.5,53,50
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,1476,211,839,714,47,13,1449,2,2,100,2,0,1043,5870,3454,1134,1123,99,2,1
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,92,6,36,31,33,4,73,2,5,40,2,0,54,425,201,57,44,77.2,4,4
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,1163,26,166,616,515,66,1138,66,97,68,70,5,932,5856,3538,1042,889,85.3,33,35
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,1211,46,98,584,575,135,1185,25,42,59.5,27,2,635,2466,824,1710,932,54.5,106,78
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,29,3,4,12,16,7,28,2,4,50,2,0,17,83,42,33,16,48.5,5,2
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1515,55,287,1030,276,23,1499,23,27,85.2,25,0,951,4844,2086,1007,927,92.1,17,23
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,185,175,185,0,0,0,101,0,0,,0,0,44,205,131,26,26,100,0,0
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1547,61,371,923,333,33,1511,27,38,71.1,30,3,861,4392,1786,934,842,90.1,19,24
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,719,11,142,517,121,3,698,18,21,85.7,18,0,567,3212,1652,537,502,93.5,11,12
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,276,4,14,160,111,24,258,11,16,68.8,12,0,154,467,178,390,211,54.1,18,14
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,490,419,489,3,0,0,357,2,2,100,2,0,245,998,468,218,218,100,0,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1754,97,443,942,486,11,1380,20,24,83.3,20,1,913,4973,2622,864,812,94,19,19
96,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,477,16,99,199,214,10,429,5,8,62.5,5,2,321,1469,894,361,343,95,3,4
97,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,891,26,215,401,325,26,742,21,27,77.8,22,1,519,2478,1406,591,532,90,17,9
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,12,0,1,5,6,2,12,1,1,100,1,0,10,60,34,11,8,72.7,0,1
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,726,33,224,303,241,25,653,12,18,66.7,12,0,500,1942,1135,549,499,90.9,10,11
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,1085,55,287,436,454,50,935,53,84,63.1,58,2,747,4802,2663,749,647,86.4,26,35
101,Janis Antiste\Janis-Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,11,0,0,7,5,0,8,1,1,100,1,0,9,51,9,6,6,100,0,1
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,850,12,47,305,556,125,810,71,107,66.4,74,3,601,2602,1532,1134,626,55.2,71,49
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,574,37,199,261,150,10,478,6,16,37.5,8,1,308,1885,1186,355,305,85.9,10,5
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,40,0,7,16,20,6,40,0,0,,0,0,22,142,100,29,21,72.4,5,0
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,3,0,1,1,1,0,3,0,0,,0,0,1,0,0,2,2,100,1,0
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,1181,24,207,545,547,91,1044,36,80,45,41,3,803,6044,3468,1032,746,72.3,60,39
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,127,3,27,94,16,2,125,2,3,66.7,2,0,83,704,341,94,83,88.3,1,3
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,1366,16,141,875,486,66,1325,65,104,62.5,72,5,1118,6093,3636,1291,1100,85.2,45,58
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,40,0,7,23,12,1,40,3,3,100,3,0,28,125,44,36,29,80.6,4,0
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,1158,54,432,556,214,6,967,21,27,77.8,21,0,619,2840,1508,640,598,93.4,9,18
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1363,54,241,851,349,26,1318,29,43,67.4,32,2,748,3964,1493,722,613,84.9,35,39
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,68,2,26,25,20,3,58,0,2,0,1,1,44,222,126,42,39,92.9,1,1
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1868,49,375,1297,290,22,1836,13,22,59.1,14,1,1242,5140,2284,1451,1350,93,19,21
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,447,4,53,184,250,35,427,26,38,68.4,27,2,336,2003,1195,373,296,79.4,13,16
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1824,329,1082,815,51,20,1763,1,1,100,1,0,1065,7525,3690,1149,1133,98.6,6,4
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,233,33,120,125,2,1,229,1,1,100,1,0,173,716,452,186,186,100,0,1
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1412,106,524,820,169,11,1266,4,6,66.7,4,0,751,5298,2319,740,714,96.5,8,10
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,142,125,142,0,0,0,104,0,0,,0,0,77,336,185,62,62,100,0,1
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,60,45,59,1,0,0,48,0,0,,0,0,37,152,87,30,28,93.3,0,0
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,780,47,216,362,243,19,667,4,7,57.1,5,0,437,2001,1087,488,449,92,7,4
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,4,1,3,1,0,0,4,0,0,,0,0,1,7,0,2,2,100,0,0
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,882,48,167,412,368,49,863,31,53,58.5,33,2,593,3466,1879,732,560,76.5,37,29
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,304,4,26,145,146,37,291,3,8,37.5,3,0,198,970,486,360,208,57.8,31,26
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,169,4,19,69,97,17,164,13,23,56.5,14,0,148,694,443,152,113,74.3,16,14
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,1860,59,359,1108,495,24,1598,22,30,73.3,22,0,1065,5066,2591,1151,1057,91.8,22,28
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,1134,1003,1129,5,0,0,882,0,0,,0,0,681,2610,1487,646,646,100,0,0
127,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,428,23,114,176,165,22,386,13,15,86.7,13,0,286,1266,863,304,279,91.8,3,10
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,402,24,137,242,49,0,383,7,10,70,7,0,209,1049,413,214,200,93.5,9,2
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,1123,1024,1121,3,0,0,752,1,1,100,1,0,482,1954,963,447,446,99.8,0,0
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,203,3,26,93,97,17,198,6,8,75,7,0,155,807,362,218,165,75.7,6,8
131,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,43,1,13,29,6,0,43,2,3,66.7,2,0,31,190,146,38,32,84.2,1,1
132,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,1676,13,133,882,794,165,1585,60,97,61.9,67,1,1235,7020,3867,1959,1317,67.2,69,70
133,Roger Assalé\Roger-Assale,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,192,0,12,85,112,36,189,16,20,80,16,1,165,955,563,268,156,58.2,11,14
134,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,21,1,5,12,5,3,21,0,0,,0,0,12,56,12,13,12,92.3,1,0
135,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,332,11,85,133,158,20,323,19,40,47.5,21,1,255,1389,838,321,215,67,21,20
136,Youcef Attal\Youcef-Attal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,741,18,161,365,300,48,678,41,85,48.2,43,3,556,3039,2102,621,512,82.4,38,29
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,1248,29,159,502,672,168,1214,25,49,51,29,0,865,5143,3182,1528,939,61.5,58,39
138,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,1127,1005,1125,2,0,0,727,1,1,100,1,0,469,2308,1224,397,395,99.5,0,0
139,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,916,38,271,436,292,3,790,21,30,70,21,0,603,3640,2247,635,597,94,8,16
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,80,1,5,38,42,19,79,8,12,66.7,8,1,62,257,139,115,57,49.6,9,7
