Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1839,97,531,883,531,50,1458,18,36,50,18,2,1000,5308,2935,1079,994,92.1,21,16
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,7912,4384,1399,1244,88.9,39,48
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,1856,256,1131,801,61,27,1782,21,26,80.8,21,0,1201,7283,4029,1266,1236,97.6,12,8
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50,3,1,37,169,91,77,39,50.6,6,2
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1176,22,211,754,283,20,1091,12,22,54.5,12,0,782,3969,1963,854,759,88.9,14,26
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,574,279,309,142,46,25,12
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1073,108,482,588,87,11,1022,9,11,81.8,11,1,662,3916,2242,639,619,96.9,6,2
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,1627,826,1076,495,46,71,47
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,438,21,141,256,64,3,423,7,10,70,7,0,291,1344,504,288,261,90.6,8,8
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11372,6125,1641,1600,97.5,8,7
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1348,640,657,315,47.9,44,29
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2365,1076,602,554,92,9,13
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1165,603,404,212,52.5,25,20
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,1,1,100,0,0
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,70,0,9,35,30,13,68,4,4,100,4,0,54,352,202,82,50,61,5,4
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,322,145,76,63,82.9,5,1
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75,3,0,25,176,107,26,23,88.5,3,1
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,735,13,73,512,210,13,695,24,42,57.1,28,3,554,2685,1602,612,549,89.7,27,32
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,338,301,338,0,0,0,244,0,0,,0,0,163,641,355,155,154,99.4,0,0
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100,2,0,33,115,31,117,64,54.7,4,2
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4232,2216,665,599,90.1,22,18
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,2937,1695,677,608,89.8,20,17
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,137,49,31,29,93.5,0,2
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,47,0,9,22,20,2,47,2,2,100,2,0,33,205,105,40,32,80,0,2
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2257,1464,348,285,81.9,12,13
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717,93,448,291,14,7,700,1,2,50,1,0,453,2050,1041,477,469,98.3,3,5
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,572,2,21,210,383,154,551,27,45,60,28,2,428,1758,891,780,450,57.7,24,41
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,2838,1708,649,601,92.6,8,15
