Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
359,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,0,0,0,,0,0,,,0,0,0
360,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,27,1992,24.9,0,21,7,33.3,0.84,0.28,0,0,0,0,0
361,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,3.9,0,0,0,,0,0,,,0,0,0
362,Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,21,1998,18.6,3,42,15,35.7,2.26,0.81,0.07,0.2,1,0,0
363,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,3,11,6,54.5,0.44,0.24,0.27,0.5,0,0,0
364,Marco Brescianini\Marco-Brescianini,it ITA,MF,Milan,it Serie A,19,2000,0.3,0,0,0,,0,0,,,0,0,0
365,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,1,17,3,17.6,0.88,0.16,0.06,0.33,0,0,0
366,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,16.9,7,27,10,37,1.59,0.59,0.22,0.6,0,1,1
367,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,21,1997,16.7,0,7,0,0,0.42,0,0,,0,0,0
368,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,0.1,0,0,0,,0,0,,,0,0,0
369,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9,0,2,1,50,0.22,0.11,0,0,0,0,0
370,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.5,1,0,0
371,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,0,12,4,33.3,0.49,0.16,0,0,0,0,0
372,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19,2,22,7,31.8,1.16,0.37,0.05,0.14,5,1,1
373,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,8.9,0,5,0,0,0.56,0,0,,0,0,0
374,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,30,3,56,16,28.6,1.87,0.53,0.05,0.19,2,0,0
375,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,26,1992,16.2,0,10,1,10,0.62,0.06,0,0,1,0,0
376,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9,0,9,2,22.2,1,0.22,0,0,0,0,0
377,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,0,7,0,0,0.93,0,0,,1,0,0
378,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Hoffenheim,de Bundesliga,20,1998,4.3,0,4,1,25,0.92,0.23,0,0,0,0,0
379,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,0.8,0,0,0,,0,0,,,0,0,0
380,Bryan\Bryan,es ESP,MFFW,Leganés,es La Liga,18,2001,6.2,1,14,4,28.6,2.26,0.65,0.07,0.25,0,0,0
381,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,0.7,0,0,0,,0,0,,,0,0,0
382,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,1.3,0,0,0,,0,0,,,0,0,0
383,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,30.7,13,54,20,37,1.76,0.65,0.2,0.55,0,2,2
384,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,27.4,1,40,11,27.5,1.46,0.4,0.03,0.09,10,0,0
385,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9,0,0,0,,0,0,,,0,0,0
386,Marius Bülter\Marius-Bulter,de GER,MFFW,Union Berlin,de Bundesliga,26,1993,25.8,7,40,15,37.5,1.55,0.58,0.18,0.47,0,0,0
387,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,1,2,1,50,0.16,0.08,0.5,1,0,0,0
388,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,13.7,0,35,8,22.9,2.55,0.58,0,0,0,0,0
389,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,25,1993,0.2,0,0,0,,0,0,,,0,0,0
390,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,2.8,1,7,2,28.6,2.49,0.71,0.14,0.5,0,0,0
391,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,es La Liga,22,1997,15.9,1,20,9,45,1.26,0.57,0.05,0.11,0,0,0
392,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,0,0,0,,0,0,,,0,0,0
393,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32,0,13,0,0,0.41,0,0,,0,0,0
394,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,15.9,1,7,1,14.3,0.44,0.06,0.14,1,0,0,0
395,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,27.6,2,10,4,40,0.36,0.14,0.2,0.5,0,0,0
