Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_S,Att_S,Cmp%_S,Cmp_M,Att_M,Cmp%_M,Cmp_L,Att_L,Cmp%_L,Ast,KP,pass13,PPA,CrsPA,Prog
288,Valter Birsa\Valter-Birsa,si SVN,MFFW,Chievo,it Serie A,31,1986,12.2,408,564,72.3,7768,2376,3,24,12.5,310,377,82.2,95,163,58.3,2,27,44,18,3,73
289,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,21,1996,19.7,596,727,82,10282,2277,18,31,58.1,472,546,86.4,106,150,70.7,0,14,52,7,1,52
290,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,de Bundesliga,24,1993,11.9,363,492,73.8,6148,1488,5,26,19.2,297,359,82.7,61,107,57,3,17,26,16,4,52
291,Alejandro Blanco\Alejandro-Blanco,es ESP,FWMF,Alavés,es La Liga,19,1998,0.2,4,6,66.7,37,10,0,0,,4,6,66.7,0,0,,0,0,0,0,0,0
292,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25,529,813,65.1,18661,12573,1,1,100,242,244,99.2,286,568,50.4,0,2,15,1,0,0
293,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Guingamp,fr Ligue 1,20,1997,26.4,716,939,76.3,14528,3846,10,33,30.3,536,665,80.6,170,241,70.5,6,18,110,18,3,103
294,Pablo de Blasis\Pablo-de-Blasis,ar ARG,FW,Mainz 05,de Bundesliga,30,1988,1,14,29,48.3,266,56,0,1,0,11,19,57.9,3,9,33.3,0,1,0,2,1,3
295,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,es La Liga,30,1988,16.9,554,793,69.9,10301,4298,3,28,10.7,439,532,82.5,112,233,48.1,0,21,68,31,16,124
296,Alexis Blin\Alexis-Blin,fr FRA,MF,Amiens,fr Ligue 1,21,1996,22.1,761,928,82,13277,3953,13,31,41.9,618,718,86.1,130,179,72.6,1,9,73,8,1,84
297,Danny Blum\Danny-Blum,de GER,FW,Eint Frankfurt,de Bundesliga,27,1991,0,1,2,50,17,0,0,0,,1,2,50,0,0,,0,0,0,0,0,0
298,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FW,Levante,es La Liga,22,1996,7.8,70,107,65.4,924,152,3,4,75,62,91,68.1,5,12,41.7,0,2,5,1,0,4
299,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,29,1988,18.8,1431,1624,88.1,34816,11501,6,16,37.5,831,887,93.7,594,721,82.4,2,9,197,16,1,160
300,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Barcelona,es La Liga,31,1987,2.7,49,65,75.4,652,58,3,6,50,42,52,80.8,4,7,57.1,0,2,2,0,0,2
