Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17,9,47,17,36.2,2.76,1,0.19,0.53,2,0,0
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1,9,2,22.2,0.37,0.08,0.11,0.5,0,0,0
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,0,8,2,25,0.7,0.18,0,0,0,0,0
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.5,0,0,0
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,0,0,0,,0,0,,,0,0,0
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,0,16,3,18.8,2.74,0.51,0,0,0,0,0
39,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,23,1995,5.5,0,0,0,,0,0,,,0,0,0
40,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,de Bundesliga,23,1995,3.5,0,0,0,,0,0,,,0,0,0
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,3,47,16,34,1.67,0.57,0.06,0.19,16,0,0
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1,13,2,15.4,0.62,0.09,0.08,0.5,0,0,0
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,9,44,17,38.6,3.13,1.21,0.2,0.53,0,0,0
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.5,0,0,0
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,4,70,13,18.6,3.17,0.59,0.04,0.23,8,1,1
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19,1,3,1,33.3,0.16,0.05,0.33,1,0,0,0
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1,11,4,36.4,0.6,0.22,0.09,0.25,0,0,0
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,0,0,0
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,18,51,26,51,3.79,1.93,0.33,0.65,6,1,1
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,1,15,3,20,0.72,0.14,0.07,0.33,1,0,0
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2,23,6,26.1,0.86,0.22,0.09,0.33,1,0,0
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,3,52,12,23.1,1.57,0.36,0.06,0.25,11,0,1
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,0,17,6,35.3,0.52,0.18,0,0,0,0,0
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,0,3,2,66.7,1.93,1.29,0,0,0,0,0
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,,0,0,,,0,0,0
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,0,1,0,0,0.62,0,0,,0,0,0
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,0,0,0
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,0,0,0,,0,0,,,0,0,0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0,0,0,,0,0,,,0,0,0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1,29,9,31,1.06,0.33,0.03,0.11,9,0,0
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,5,50,20,40,3.59,1.44,0.1,0.25,4,0,0
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,0,0,0,,0,0,,,0,0,0
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,0,0,0,,0,0,,,0,0,0
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2,0,2,0,0,1.02,0,0,,0,0,0
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1,25,2,8,0.86,0.07,0.04,0.5,0,0,0
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,5,40,18,45,1.97,0.89,0.13,0.28,1,0,0
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,0,19,8,42.1,2.25,0.95,0,0,0,0,0
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6,0,4,2,50,0.67,0.34,0,0,0,0,0
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2,43,7,16.3,1.4,0.23,0.05,0.29,8,0,0
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,1,4,2,50,0.63,0.32,0.25,0.5,0,0,0
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,0,0,0,,0,0,,,0,0,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,0,2,0,0,0.17,0,0,,0,0,0
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29,0,10,3,30,0.34,0.1,0,0,0,0,0
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,4,17,5,29.4,0.52,0.15,0.24,0.8,8,0,0
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18,1,27,6,22.2,1.5,0.33,0.04,0.17,2,0,0
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0,1,0,0,10,0,0,,0,0,0
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,0,9,3,33.3,1.06,0.35,0,0,0,0,0
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28,0,20,4,20,0.71,0.14,0,0,0,0,0
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,0,4,1,25,0.56,0.14,0,0,0,0,0
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,0,7,1,14.3,0.23,0.03,0,0,0,0,0
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,1,14,6,42.9,1.26,0.54,0.07,0.17,0,0,0
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,0,25,5,20,1.03,0.21,0,0,0,0,0
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,0,18,4,22.2,0.56,0.12,0,0,0,0,0
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,3,19,6,31.6,2.27,0.72,0.16,0.5,0,0,0
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0,0,0,0,,0,0,,,0,0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0,0,0,0,,0,0,,,0,0,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,0,13,5,38.5,0.41,0.16,0,0,0,0,0
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,5,0,0
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,3,19,7,36.8,1.94,0.72,0.16,0.43,0,0,0
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,3,32,9,28.1,1.15,0.32,0.09,0.33,0,0,0
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0,1,1,100,0.85,0.85,0,0,0,0,0
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,0,3,1,33.3,0.42,0.14,0,0,0,0,0
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0,0,0,0,,0,0,,,0,0,0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,0,0,0,,0,0,,,0,0,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,4,0,0
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,3,36,7,19.4,1.79,0.35,0.08,0.43,5,0,0
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,5,51,16,31.4,2.15,0.68,0.08,0.25,1,1,2
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,1,20,4,20,0.59,0.12,0.05,0.25,0,0,0
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,0,7,2,28.6,0.83,0.24,0,0,0,0,0
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,0,1,1,100,1.55,1.55,0,0,0,0,0
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,6,65,25,38.5,2.78,1.07,0.09,0.24,0,0,0
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,2,8,2,25,0.39,0.1,0.25,1,0,0,0
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1,29,6,20.7,1.2,0.25,0.03,0.17,4,0,0
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12,1,10,4,40,0.83,0.33,0.1,0.25,0,0,0
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,0,10,1,10,0.88,0.09,0,0,2,0,0
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34,7,72,23,31.9,2.12,0.68,0.1,0.3,1,0,0
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,0,0,0,,0,0,,,0,0,0
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,1,26,9,34.6,0.87,0.3,0.04,0.11,3,0,0
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7,0,5,2,40,0.72,0.29,0,0,0,0,0
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21,2,22,5,22.7,1.05,0.24,0.09,0.4,3,0,0
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,3,25,9,36,2.88,1.04,0.12,0.33,2,0,0
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3,12,7,58.3,0.4,0.23,0.25,0.43,0,0,0
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1,19,1,5.3,0.88,0.05,0.05,1,3,0,0
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,,0,0,,,0,0,0
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,0,0,0,,0,0,,,0,0,0
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1,0,0,0
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,0,5,1,20,0.27,0.05,0,0,0,0,0
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,,0,0,,,0,0,0
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,0,10,2,20,0.49,0.1,0,0,0,0,0
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,0,0,0
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,0,1,0,0,0.8,0,0,,0,0,0
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,10,62,30,48.4,2.8,1.36,0.15,0.3,3,1,1
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,2,53,22,41.5,1.66,0.69,0.04,0.09,8,0,0
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,0,0,0,,0,0,,,0,0,0
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,0,23,4,17.4,1.04,0.18,0,0,0,0,0
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,0,10,1,10,0.34,0.03,0,0,0,0,0
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,0,13,3,23.1,1.67,0.39,0,0,0,0,0
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27,0,19,5,26.3,0.7,0.19,0,0,0,0,0
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,0,0,0,,0,0,,,0,0,0
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,1,45,17,37.8,2.28,0.86,0.02,0.06,1,0,0
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25,20,64,26,40.6,2.56,1.04,0.23,0.58,10,5,5
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1,0,2,0,0,2,0,0,,0,0,0
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,1,28,14,50,1.69,0.84,0.04,0.07,0,0,0
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,6,36,16,44.4,1.43,0.64,0.17,0.38,0,0,1
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.2,0.53,0,4,5
136,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,0,0,0,,0,0,,,0,0,0
137,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,3,12,7,58.3,2.34,1.37,0.25,0.43,0,0,0
138,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,1,21,6,28.6,0.62,0.18,0.05,0.17,0,0,0
139,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,0,4,1,25,0.64,0.16,0,0,0,0,0
140,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,2,33,8,24.2,3.02,0.73,0.06,0.25,0,0,1
141,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,10,89,23,25.8,4.01,1.04,0.1,0.39,2,1,1
142,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,1,26,3,11.5,1.98,0.23,0.04,0.33,0,0,0
143,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,4,22,9,40.9,0.81,0.33,0.18,0.44,5,0,0
144,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,0,0,0
145,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,0,0,0
146,Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,1,9,4,44.4,0.38,0.17,0.11,0.25,0,0,0
147,Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0,0,0,0,,0,0,,,0,0,0
148,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,0,0,0,,0,0,,,0,0,0
149,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,7,60,20,33.3,3.63,1.21,0.08,0.25,0,2,2
150,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,eng Premier League,31,1986,13.9,5,25,9,36,1.8,0.65,0.2,0.56,0,0,0
151,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,31,1986,14.1,6,30,14,46.7,2.13,0.99,0.17,0.36,0,1,1
152,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,eng Premier League,20,1997,15.7,1,17,8,47.1,1.08,0.51,0.06,0.13,2,0,0
153,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,eng Premier League,26,1991,6.2,0,5,1,20,0.8,0.16,0,0,0,0,0
154,Milan Badelj\Milan-Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,1,13,4,30.8,1.03,0.32,0.08,0.25,0,0,0
155,Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,0,0,0,,0,0,,,0,0,0
156,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,11,69,33,47.8,2.52,1.2,0.13,0.27,2,2,3
157,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,0,26,10,38.5,0.83,0.32,0,0,0,0,0
158,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,20,1997,21.3,5,55,15,27.3,2.59,0.71,0.09,0.33,13,0,0
159,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,0,3,1,33.3,0.42,0.14,0,0,0,0,0
160,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,0,2,1,50,0.48,0.24,0,0,1,0,0
161,Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,16.3,1,11,4,36.4,0.67,0.24,0.09,0.25,0,0,0
162,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,25.6,1,25,7,28,0.98,0.27,0.04,0.14,0,0,0
163,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,10.4,0,11,3,27.3,1.06,0.29,0,0,0,0,0
164,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,1,17,2,11.8,0.76,0.09,0.06,0.5,0,0,0
165,Keita Baldé\Keita-Balde,sn SEN,FWMF,Inter,it Serie A,23,1995,9.9,5,30,17,56.7,3.04,1.72,0.17,0.29,0,0,0
166,Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,es La Liga,29,1989,19.8,8,74,31,41.9,3.73,1.56,0.09,0.23,10,1,1
167,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,0,1,0,0,0.17,0,0,,0,0,0
168,Andrija Balić\Andrija-Balic,hr CRO,FWMF,Udinese,it Serie A,20,1997,0.3,0,1,0,0,3.33,0,0,,0,0,0
169,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Lille,fr Ligue 1,21,1997,17.7,0,4,2,50,0.23,0.11,0,0,0,0,0
170,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,21,1997,17.7,0,4,1,25,0.23,0.06,0,0,0,0,0
171,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,12,0,5,0,0,0.42,0,0,,0,0,0
172,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,1,3,1,33.3,0.45,0.15,0.33,1,0,0,0
173,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,8.4,0,35,8,22.9,4.19,0.96,0,0,5,0,0
